create_time,symbol,sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
2023-06-29 12:05:00,MAVUSDT,783030.00000000,389459.25652890,0.4910000,0.5018000,0.4875000,0.4971000,1792455.0,888292.9579000,5157,888365.0,440504.0398000,-15725.0
2023-06-29 12:10:00,MAVUSDT,1336490.00000000,671544.37949810,0.4975000,0.5061000,0.4959000,0.5018000,1579978.0,792754.9020000,3667,807673.0,405182.6683000,35368.0
2023-06-29 12:15:00,MAVUSDT,1095783.00000000,533865.47760000,0.5014000,0.5014000,0.4749000,0.4889000,3689412.0,1795214.2762000,8558,1842606.0,896055.2870000,-4200.0
2023-06-29 12:20:00,MAVUSDT,1309177.00000000,633225.57227409,0.4887000,0.4898000,0.4778000,0.4839000,1576003.0,762634.6224000,3862,743589.0,359756.3091000,-88825.0
2023-06-29 12:25:00,MAVUSDT,1505232.00000000,731254.86132768,0.4839000,0.4885000,0.4790000,0.4849000,1156798.0,560372.3476000,3657,622649.0,301630.0203000,88500.0
2023-06-29 12:30:00,MAVUSDT,1723099.00000000,837556.62151826,0.4848000,0.4944000,0.4820000,0.4850000,2477519.0,1207168.4402000,7407,1341002.0,653361.7186000,204485.0
2023-06-29 12:35:00,MAVUSDT,1797303.00000000,859468.20972852,0.4848000,0.4868000,0.4761000,0.4773000,729045.0,351381.9587000,2368,324858.0,156760.9855000,-79329.0
2023-06-29 12:40:00,MAVUSDT,1816038.00000000,847361.46028086,0.4775000,0.4815000,0.4630000,0.4648000,2674520.0,1264058.7341000,6690,1105999.0,523661.9211000,-462522.0
2023-06-29 12:45:00,MAVUSDT,1928262.00000000,907825.74960000,0.4653000,0.4739000,0.4628000,0.4708000,2209461.0,1034479.2056000,6471,1146573.0,537278.7829000,83685.0
2023-06-29 12:50:00,MAVUSDT,2034584.00000000,963620.73206368,0.4703000,0.4750000,0.4685000,0.4735000,993770.0,469347.0112000,2748,487908.0,230492.3810000,-17954.0
2023-06-29 12:55:00,MAVUSDT,2133825.00000000,999991.30964400,0.4736000,0.4769000,0.4678000,0.4685000,748291.0,353879.0518000,1879,345173.0,163425.8260000,-57945.0
2023-06-29 13:00:00,MAVUSDT,2214773.00000000,1048473.53820000,0.4686000,0.4750000,0.4674000,0.4730000,662294.0,312046.4895000,1446,390101.0,183835.3945000,117908.0
2023-06-29 13:05:00,MAVUSDT,2385991.00000000,1118162.66215078,0.4731000,0.4746000,0.4674000,0.4684000,586988.0,276656.5334000,1252,253366.0,119432.2981000,-80256.0
2023-06-29 13:10:00,MAVUSDT,2477923.00000000,1158277.22971625,0.4684000,0.4728000,0.4648000,0.4670000,802681.0,375636.7089000,1764,334289.0,156616.9758000,-134103.0
2023-06-29 13:15:00,MAVUSDT,2568407.00000000,1165869.05313237,0.4673000,0.4693000,0.4521000,0.4527000,2190657.0,1008722.3370000,4834,831249.0,383823.3178000,-528159.0
2023-06-29 13:20:00,MAVUSDT,2859816.00000000,1285773.27360000,0.4530000,0.4588000,0.4462000,0.4501000,2760207.0,1248721.4732000,5468,1419649.0,642590.9856000,79091.0
2023-06-29 13:25:00,MAVUSDT,3176313.00000000,1409647.70940000,0.4499000,0.4534000,0.4351000,0.4430000,3054740.0,1350544.3856000,6428,1471062.0,650970.8333000,-112616.0
2023-06-29 13:30:00,MAVUSDT,3480141.00000000,1557363.09750000,0.4425000,0.4498000,0.4367000,0.4475000,2052353.0,912683.2540000,5016,1019029.0,453251.6396000,-14295.0
2023-06-29 13:35:00,MAVUSDT,4013040.00000000,1763843.92668480,0.4475000,0.4488000,0.4339000,0.4394000,3308030.0,1454187.6386000,6601,1823957.0,800948.8145000,339884.0
2023-06-29 13:40:00,MAVUSDT,4405000.00000000,1939962.00000000,0.4396000,0.4419000,0.4323000,0.4390000,2296280.0,1006164.9344000,4026,1240368.0,543976.2979000,184456.0
2023-06-29 13:45:00,MAVUSDT,4626532.00000000,2052448.31201112,0.4391000,0.4447000,0.4354000,0.4435000,1340027.0,589583.2167000,2984,796771.0,350677.8045000,253515.0
2023-06-29 13:50:00,MAVUSDT,4950669.00000000,2176809.15930000,0.4435000,0.4468000,0.4371000,0.4397000,2489284.0,1099826.5459000,4702,1233888.0,545050.2551000,-21508.0
2023-06-29 13:55:00,MAVUSDT,5323955.00000000,2350526.13250000,0.4395000,0.4461000,0.4371000,0.4415000,1610241.0,712363.8839000,3178,860555.0,381342.3517000,110869.0
2023-06-29 14:00:00,MAVUSDT,5549493.00000000,2457870.44970000,0.4415000,0.4451000,0.4403000,0.4423000,1300841.0,576370.3075000,2882,664567.0,294531.9875000,28293.0
2023-06-29 14:05:00,MAVUSDT,5543517.00000000,2500538.54922963,0.4424000,0.4526000,0.4422000,0.4497000,2420527.0,1081226.0679000,4342,1807721.0,807717.9872000,1194915.0
2023-06-29 14:10:00,MAVUSDT,5826777.00000000,2600490.57510000,0.4496000,0.4549000,0.4454000,0.4456000,2636097.0,1186770.3700000,5111,1314778.0,592098.1585000,-6541.0
2023-06-29 14:15:00,MAVUSDT,6046393.00000000,2712842.64483732,0.4457000,0.4509000,0.4456000,0.4488000,1022773.0,458912.8188000,1805,514298.0,230849.8200000,5823.0
2023-06-29 14:20:00,MAVUSDT,6252040.00000000,2852576.08953000,0.4489000,0.4578000,0.4480000,0.4561000,2917290.0,1326994.1887000,5850,1707759.0,776732.4278000,498228.0
2023-06-29 14:25:00,MAVUSDT,6501698.00000000,2969325.47660000,0.4561000,0.4600000,0.4559000,0.4566000,1274686.0,583845.0858000,2234,647315.0,296619.3189000,19944.0
2023-06-29 14:30:00,MAVUSDT,6311469.00000000,2864933.62893969,0.4566000,0.4567000,0.4509000,0.4532000,1343125.0,608669.2363000,2212,710532.0,321944.9316000,77939.0
2023-06-29 14:35:00,MAVUSDT,6408980.00000000,2893747.46429980,0.4534000,0.4561000,0.4508000,0.4513000,945615.0,428472.7620000,1691,414169.0,187853.1253000,-117277.0
2023-06-29 14:40:00,MAVUSDT,6415885.00000000,2906395.90500000,0.4509000,0.4536000,0.4477000,0.4530000,845798.0,381470.5427000,1650,406676.0,183553.3568000,-32446.0
2023-06-29 14:45:00,MAVUSDT,6486365.00000000,2948052.89250000,0.4530000,0.4549000,0.4527000,0.4546000,376459.0,170842.2726000,671,203536.0,92397.7628000,30613.0
2023-06-29 14:50:00,MAVUSDT,6571824.00000000,2965448.04330432,0.4546000,0.4550000,0.4479000,0.4512000,885029.0,400074.3041000,1434,304656.0,137722.5563000,-275717.0
2023-06-29 14:55:00,MAVUSDT,6575022.00000000,2964559.26665466,0.4511000,0.4511000,0.4472000,0.4506000,1364034.0,611871.7088000,2254,594701.0,267024.7367000,-174632.0
