sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
238684927,4847251.68710432,0.0203400,0.0204900,0.0202700,0.0204700,7097579,144604.3353600,957,4087024,83311.6077600,1076469.0
237736398,4865532.14037984,0.0204700,0.0205600,0.0204700,0.0205100,3750012,76904.0190700,611,1530106,31381.7506900,-689800.0
236847827,4858698.69155627,0.0205000,0.0205500,0.0204600,0.0205400,2623048,53795.1694600,383,1302127,26708.1419900,-18794.0
236798503,4862969.83312896,0.0205500,0.0205500,0.0204800,0.0205400,2759925,56633.9156900,366,1072828,22022.2543600,-614269.0
236558129,4858903.96966000,0.0205500,0.0205700,0.0205100,0.0205400,2736219,56191.1244200,365,1601850,32896.5751300,467481.0
236346193,4854139.56184418,0.0205400,0.0205500,0.0204800,0.0204800,2473559,50743.0103400,317,823836,16910.6467500,-825887.0
235789112,4828961.01376000,0.0204700,0.0205000,0.0204200,0.0204400,4366066,89312.0946300,469,1741147,35631.7351700,-883772.0
235125133,4805957.71852000,0.0204500,0.0204500,0.0202600,0.0203100,11857446,240974.3054800,1132,5378221,109299.3009800,-1101004.0
233691579,4744081.60556319,0.0203100,0.0204100,0.0203100,0.0204100,3023761,61590.9237500,405,1865262,37996.9839900,706763.0
233676657,4766627.58338223,0.0204100,0.0204600,0.0204000,0.0204400,1496685,30582.3457300,230,697649,14257.2781600,-101387.0
233304719,4768748.45636000,0.0204400,0.0204600,0.0203700,0.0203900,2480490,50622.2715000,303,695290,14190.5016600,-1089910.0
233932963,4769893.11557000,0.0203900,0.0203900,0.0203200,0.0203600,3430126,69808.3025800,320,1056554,21515.0413600,-1317018.0
233567023,4757365.53024113,0.0203600,0.0203900,0.0202400,0.0202900,4435541,90095.7672000,506,2112326,42905.2122200,-210889.0
233225364,4732142.63556000,0.0203000,0.0203200,0.0202600,0.0202600,2587262,52498.5864600,304,1509485,30634.0805700,431708.0
233454881,4729795.88906000,0.0202700,0.0202900,0.0202100,0.0202300,3739741,75720.7705000,463,1895343,38383.2603000,50945.0
233044221,4714484.59083000,0.0202200,0.0202700,0.0201500,0.0202600,6517626,131708.7348300,719,2585191,52263.2518800,-1347244.0
232206205,4702273.17785610,0.0202600,0.0203300,0.0202500,0.0203300,2037681,41358.3778800,279,1064107,21594.9251900,90533.0
232465141,4726016.31653000,0.0203300,0.0203600,0.0203100,0.0203200,1483984,30170.8937200,232,649265,13203.0390100,-185454.0
232474581,4723883.48592000,0.0203200,0.0203200,0.0202800,0.0203200,1644312,33387.8929300,198,614879,12488.7566900,-414554.0
232791354,4729002.71421636,0.0203100,0.0203800,0.0203000,0.0203700,2624663,53417.4393600,333,1000795,20365.3146600,-623073.0
232011775,4724606.58197875,0.0203600,0.0204100,0.0203500,0.0203900,528222,10764.4589000,118,374444,7631.0491100,220666.0
232165568,4733305.69912384,0.0203900,0.0204000,0.0203700,0.0203900,1672148,34083.0798100,225,584711,11922.5929800,-502726.0
232060119,4731408.78945768,0.0203900,0.0204400,0.0203500,0.0204300,4613805,94154.2324700,363,3632388,74144.8003800,2650971.0
233700585,4773154.49917455,0.0204200,0.0204600,0.0204000,0.0204400,1585125,32376.3003500,200,934270,19085.7398000,283415.0
233472677,4771287.31752709,0.0204400,0.0204400,0.0203400,0.0203800,3539178,72142.3229500,347,757555,15445.6625300,-2024068.0
