sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
821427338,7543980.45791862,0.0091950,0.0092940,0.0091530,0.0092810,16671363,153796.4501980,1541,8962862,82712.6917940,1254361.0
823061703,7632341.70870633,0.0092800,0.0092890,0.0092520,0.0092760,6029697,55897.8200730,684,2674258,24794.1166490,-681181.0
822365952,7620182.71344384,0.0092760,0.0092990,0.0092670,0.0092880,3099842,28773.9502860,450,1738891,16141.5613060,377940.0
822330706,7634633.40080284,0.0092870,0.0093040,0.0092750,0.0092850,3993746,37096.7291220,532,1411940,13119.3549490,-1169866.0
821325778,7627652.50028600,0.0092880,0.0092940,0.0092700,0.0092710,3194054,29631.0600720,408,1001786,9297.5119310,-1190482.0
821163432,7613006.17807200,0.0092770,0.0092800,0.0092290,0.0092380,2115429,19580.9974530,401,841947,7795.1047450,-431535.0
820688727,7578477.70484883,0.0092390,0.0092520,0.0091890,0.0092100,11517503,106212.0116610,911,2934665,27092.3970690,-5648173.0
818714358,7562464.52484600,0.0092120,0.0092180,0.0091100,0.0091540,20206942,184933.5404980,2292,7884088,72178.9293300,-4438766.0
818867889,7485803.63747685,0.0091550,0.0091920,0.0091320,0.0091900,8456613,77462.2632740,1185,4178464,38301.3828850,-99685.0
818685512,7521140.99591720,0.0091880,0.0092320,0.0091760,0.0092220,5832718,53678.4137400,814,2705712,24913.5863980,-421294.0
817660406,7541281.92453800,0.0092210,0.0092360,0.0091820,0.0091960,6957861,64096.9546830,769,4358958,40162.1366350,1760055.0
816484390,7508390.45044000,0.0091960,0.0092150,0.0091640,0.0091950,5416076,49760.1660340,682,3139445,28855.3701520,862814.0
816287493,7503886.03690110,0.0091960,0.0092060,0.0091110,0.0091310,9637984,88257.3690250,1118,3180657,29122.2296280,-3276670.0
817499433,7458317.10207189,0.0091310,0.0091450,0.0090860,0.0091160,10722192,97707.1486660,949,3436394,31340.0622750,-3849404.0
816744865,7445446.18934000,0.0091170,0.0091320,0.0090810,0.0090880,6593269,60028.2242000,716,2548264,23214.1390950,-1496741.0
816912596,7421087.26496876,0.0090880,0.0091260,0.0090720,0.0091180,7098201,64590.5239930,1049,3942006,35877.8632190,785811.0
817201853,7453158.74799002,0.0091190,0.0091980,0.0091170,0.0091940,7711043,70613.1770960,1051,3746779,34335.9553840,-217485.0
817701741,7518767.50849500,0.0091950,0.0092440,0.0091880,0.0091910,19302532,177902.8588630,1317,8215809,75731.0804120,-2870914.0
819810310,7534876.55921000,0.0091900,0.0092150,0.0091790,0.0091880,2593221,23837.7409510,471,1306856,12015.1688350,20491.0
819364067,7528317.04759600,0.0091880,0.0092050,0.0091840,0.0091890,4104363,37741.3457870,420,2705754,24884.3636270,1307145.0
820018090,7535146.22901000,0.0091910,0.0092030,0.0091760,0.0092010,3589679,32976.0440290,415,1764160,16210.5773110,-61359.0
819321185,7532314.60933160,0.0092020,0.0092050,0.0091860,0.0091970,3133604,28817.4205630,311,1363849,12541.9957610,-405906.0
818906761,7531673.82947203,0.0091970,0.0091970,0.0091580,0.0091910,3350782,30753.2389950,399,1742851,15999.9595840,134920.0
818579559,7516762.33063371,0.0091910,0.0092070,0.0091870,0.0092000,2204541,20277.2586850,294,1302106,11978.0792700,399671.0
818639321,7531481.75320000,0.0092000,0.0092060,0.0091800,0.0091830,3779785,34730.8439560,297,916987,8424.5408000,-1945811.0
