sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
912327,4772384.10630000,5.231,5.239,5.229,5.236,6070.5,31777.1589,285,2118,11088.7722,-1833.6999999999998
912886,4778048.61642504,5.236,5.244,5.230,5.243,3104.5,16257.5025,191,1802,9434.0017,498.6999999999998
912930,4783831.21714516,5.242,5.245,5.234,5.241,3832.9,20088.7603,205,1919,10055.3900,4.299999999999727
912713,4783528.30890000,5.240,5.243,5.231,5.235,3141.3,16454.5546,155,1841,9643.5571,540.0999999999999
913668,4783052.50350000,5.236,5.240,5.216,5.222,3348.9,17505.9654,178,1619,8467.0224,-110.09999999999991
913295,4766485.56120000,5.221,5.225,5.213,5.216,6427.4,33555.7568,378,3390,17698.0621,352.60000000000036
912903,4761700.48320000,5.215,5.215,5.176,5.188,22813.2,118381.6826,997,10377,53858.5596,-2059.4000000000015
912078,4730865.31012435,5.189,5.212,5.188,5.211,4254.3,22128.9635,225,2220,11542.3132,184.69999999999982
912572,4751513.66678205,5.212,5.230,5.209,5.222,6075.9,31700.3409,352,3704,19331.2777,1332.9000000000005
912386,4764478.12540000,5.223,5.224,5.207,5.211,3342.9,17434.1221,161,521,2716.3033,-2301.3
913447,4760362.77953252,5.210,5.213,5.197,5.212,2694.4,14026.3350,163,1202,6256.4648,-290.8000000000002
913876,4761610.70954688,5.211,5.214,5.186,5.194,12102.9,62908.7604,337,3978,20658.3447,-4147.5
918728,4768293.06856043,5.195,5.197,5.186,5.188,5887.3,30563.6589,220,2496,12962.9185,-894.3000000000002
919917,4772530.95240000,5.188,5.194,5.180,5.181,8229.4,42681.8383,423,4782,24805.5513,1334.2000000000007
922475,4780267.00460000,5.181,5.199,5.181,5.194,11376.2,59042.0457,355,4928,25575.7439,-1520.0
925359,4808141.95241730,5.195,5.209,5.195,5.207,2134.2,11104.9388,144,1126,5855.2663,116.80000000000018
925342,4818256.31470000,5.207,5.216,5.204,5.215,3664.3,19093.0311,176,1826,9519.2077,-11.300000000000182
925397,4824876.29936972,5.214,5.218,5.208,5.217,5673.2,29576.3531,230,3133,16335.9545,593.4000000000005
925576,4827452.12974141,5.216,5.229,5.213,5.226,2955.3,15429.9776,160,1468,7663.2366,-19.90000000000009
925407,4836001.78775163,5.226,5.229,5.221,5.228,1324.8,6921.6885,74,323,1685.5874,-679.5999999999999
925680,4838402.96399246,5.228,5.231,5.224,5.225,2699.5,14110.4321,137,1329,6946.8140,-41.5
925732,4836951.79000000,5.225,5.231,5.221,5.230,1544.3,8070.2426,93,782,4084.5584,18.700000000000045
925874,4840363.64697230,5.230,5.234,5.228,5.233,1371,7170.8854,67,911,4765.2071,451.0
925304,4841283.87101330,5.232,5.234,5.217,5.226,4690.9,24510.5994,164,1847,9648.1361,-997.4999999999998
925710,4833841.21469282,5.225,5.225,5.222,5.222,157.9,824.7402,16,103,538.4913,48.29999999999998
