sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
3500559,5284220.09752561,1.5109,1.5231,1.5067,1.5222,81284.2,123114.67105,1499,40642,61563.76727,-0.39999999999417923
3502587,5331637.93140000,1.5221,1.5268,1.5213,1.5250,38879.9,59253.98355,686,17354,26449.88868,-4171.5
3500376,5336848.71099890,1.5246,1.5304,1.5234,1.5294,26441.1,40384.93357,520,13285,20290.28688,128.90000000000146
3499548,5352208.25238000,1.5293,1.5328,1.5283,1.5326,28123.5,43045.62302,544,15321,23455.91344,2517.9000000000015
3507445,5373408.90960279,1.5323,1.5332,1.5258,1.5277,35247,53874.73498,754,16292,24910.36141,-2663.4000000000015
3505300,5354603.30948168,1.5273,1.5283,1.5217,1.5227,23678.3,36126.53316,527,11490,17531.48820,-698.2999999999993
3508788,5344601.78674063,1.5225,1.5273,1.5196,1.5233,48317.2,73638.10477,882,28052,42753.03956,7786.800000000003
3512862,5351142.53227000,1.5233,1.5233,1.5064,1.5107,113648.3,171811.82629,2118,54046,81712.69748,-5555.699999999997
3511281,5302424.94344437,1.5107,1.5216,1.5098,1.5212,42658.2,64682.85687,902,21861,33146.83996,1063.4000000000015
3509836,5333582.80768928,1.5212,1.5286,1.5211,1.5284,38517.2,58754.77888,752,18200,27764.62778,-2117.7999999999956
3516072,5373963.68060000,1.5284,1.5286,1.5215,1.5215,29483.8,44941.42648,657,10707,16321.97724,-8069.599999999997
3515687,5349623.95966034,1.5216,1.5229,1.5168,1.5219,34760.6,52804.20585,645,11990,18219.53407,-10780.799999999997
3514604,5343922.65032310,1.5217,1.5234,1.5066,1.5091,47213.6,71465.80754,970,20196,30535.06724,-6821.799999999996
3514684,5302716.41528655,1.5091,1.5144,1.5071,1.5079,38940.9,58805.93062,861,20397,30806.46702,1852.9000000000015
3516862,5303007.79672052,1.5078,1.5092,1.5043,1.5048,55931.2,84246.09018,769,19044,28703.68359,-17843.599999999995
3501058,5267480.43413168,1.5047,1.5109,1.5031,1.5104,54176.3,81617.29434,1133,25644,38633.07608,-2888.300000000003
3496446,5278881.52864878,1.5101,1.5171,1.5097,1.5157,17625.4,26680.41365,524,9517,14405.02969,1408.199999999997
3495814,5298605.88608000,1.5162,1.5193,1.5159,1.5189,13244.2,20103.36045,384,6838,10381.32152,431.7999999999993
3499893,5315987.02203000,1.5189,1.5202,1.5159,1.5170,17252.7,26181.45405,509,7886,11969.76478,-1479.9000000000015
3495828,5303171.68280000,1.5174,1.5228,1.5171,1.5210,25384.6,38593.11463,493,14993,22787.75149,4601.800000000003
3496858,5318721.17010000,1.5212,1.5220,1.5199,1.5211,14379,21873.50914,294,6142,9343.29185,-2095.7999999999993
3495801,5317462.59688000,1.5210,1.5221,1.5187,1.5192,19997.3,30399.62628,366,9383,14264.23465,-1230.7000000000007
3494622,5309029.59048000,1.5192,1.5212,1.5163,1.5209,12689.3,19267.67121,330,7311,11098.85585,1933.300000000001
3493291,5307736.42433022,1.5208,1.5226,1.5202,1.5223,6371,9691.31326,223,2487,3783.89126,-1396.8000000000002
3494232,5317538.91496670,1.5222,1.5228,1.5181,1.5182,13456.8,20458.44457,290,4135,6282.24463,-5187.5999999999985
