sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
71641196,115958827.42447037,1.6182000,1.6602000,1.6138000,1.6499000,1277705,2094931.3025000,11283,673814,1105066.4224000,69923.0
71684162,118221519.97040000,1.6497000,1.6528000,1.6269000,1.6410000,846387,1386870.0298000,7563,386670,633646.9681000,-73047.0
71610025,117159309.35115325,1.6416000,1.6654000,1.6291000,1.6529000,805536,1326219.3403000,7528,414187,682515.8200000,22838.0
71591785,118452346.08959486,1.6530000,1.6603000,1.6319000,1.6385000,843774,1389064.7178000,8315,417700,687956.5300000,-8374.0
71584190,117297853.73400000,1.6383000,1.6398000,1.6264000,1.6274000,305443,498737.0407000,3471,133122,217411.9025000,-39199.0
71578437,116483262.50391810,1.6275000,1.6286000,1.6180000,1.6200000,420193,682338.2426000,5712,160085,260069.3259000,-100023.0
71512884,115843720.79160000,1.6199000,1.6558000,1.6199000,1.6494000,940198,1545221.6096000,7752,475741,781587.0305000,11284.0
71607762,118201847.15972808,1.6494000,1.6576000,1.6316000,1.6499000,640294,1052260.8597000,5955,297790,489373.2535000,-44714.0
71662553,118252330.79324372,1.6504000,1.6568000,1.6387000,1.6435000,499447,822809.3664000,4449,249159,410472.8091000,-1129.0
71665373,117742335.04224308,1.6439000,1.6439000,1.6269000,1.6360000,423588,691720.7933000,3946,247893,404776.2348000,72198.0
71689457,117238061.07989060,1.6362000,1.6405000,1.6282000,1.6286000,296622,485000.9372000,2371,131353,214954.2285000,-33916.0
71721227,116843532.46015420,1.6285000,1.6428000,1.6275000,1.6388000,250692,409924.8352000,2316,147092,240502.5033000,43492.0
71738170,117569134.36891140,1.6388000,1.6464000,1.6310000,1.6377000,282319,462807.6021000,2871,153591,251669.7503000,24863.0
71736645,117357910.15837890,1.6373000,1.6664000,1.6371000,1.6561000,815495,1351053.2490000,7564,392315,649775.2447000,-30865.0
71873018,119028905.10980000,1.6561000,1.6862000,1.6465000,1.6833000,989959,1650553.8502000,9848,577108,962904.3081000,164257.0
71839972,120821500.84199624,1.6838000,1.6879000,1.6624000,1.6833000,949081,1592084.1752000,9915,435971,731468.6372000,-77139.0
71752464,120748598.88369264,1.6837000,1.6930000,1.6672000,1.6750000,751552,1263634.0975000,7839,335722,564833.5239000,-80108.0
71741458,120138833.84675560,1.6750000,1.6830000,1.6623000,1.6633000,471618,788721.0131000,4777,214353,358550.0303000,-42912.0
71752061,119363185.56282783,1.6632000,1.6769000,1.6612000,1.6699000,348223,580753.5755000,4120,178140,297113.5647000,8057.0
71778406,119819693.13580000,1.6699000,1.6720000,1.6581000,1.6607000,366458,610521.2344000,3476,195290,325528.1242000,24122.0
71788811,119219678.42770000,1.6607000,1.6617000,1.6463000,1.6506000,464714,767850.6484000,4197,190001,314004.7993000,-84712.0
71702890,118352790.23400000,1.6503000,1.6537000,1.6425000,1.6425000,280795,462782.8582000,3070,113169,186611.8426000,-54457.0
71707460,117779503.05000000,1.6425000,1.6499000,1.6366000,1.6453000,283351,465183.8502000,2961,145433,238852.0714000,7515.0
71679552,117922636.54691520,1.6453000,1.6580000,1.6451000,1.6533000,212589,351420.3448000,2002,125252,206975.2135000,37915.0
71660975,118477089.96750000,1.6534000,1.6548000,1.6450000,1.6516000,238582,393903.7099000,2133,88554,146236.6791000,-61474.0
