sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
5255394,53509417.67830063,10.190,10.198,10.103,10.130,258389.34,2624332.88051,6836,109921,1116590.36621,-38547.35999999997
5253184,53193413.02520413,10.130,10.168,10.093,10.144,174440.80,1768670.45595,4605,81915,830569.41888,-10609.879999999976
5262415,53393780.21277361,10.144,10.148,10.088,10.102,88981.10,899549.30433,2884,42472,429425.57788,-4037.340000000011
5264296,53164121.06242000,10.102,10.108,10.060,10.078,81471.11,821282.89742,2776,38427,387452.17920,-4616.369999999995
5254453,52928794.70774374,10.078,10.088,9.972,9.989,179444.76,1797386.61154,5348,68784,689070.33058,-41877.66
5227390,52198489.46481113,9.988,10.013,9.947,9.950,205987.01,2055862.06877,6110,88555,884247.39609,-28876.110000000015
5204939,51803171.91399621,9.950,9.958,9.854,9.921,401691.30,3975081.70341,12260,182350,1804709.85398,-36991.859999999986
5176346,51344172.20478000,9.922,10.009,9.919,10.004,144052.59,1436916.18170,4347,79300,790972.97259,14547.970000000001
5180239,51823106.65428000,10.003,10.024,9.997,10.014,82247.66,823343.37930,3082,39766,398097.39099,-2715.8399999999965
5177949,51849904.32676558,10.015,10.022,9.932,9.933,116549.92,1162045.47889,3204,46138,460123.59707,-24273.999999999993
5172120,51386991.75410760,9.934,9.948,9.903,9.934,100588.24,998336.39025,2744,57909,574832.98347,15230.259999999995
5172405,51397805.72833084,9.935,9.957,9.875,9.906,144864.58,1435388.43271,3627,63826,632571.10424,-17211.6
5161255,51123456.97081181,9.907,9.928,9.873,9.878,103871.40,1028758.47619,2898,54226,537125.95270,4581.180000000008
5144236,50848971.96375197,9.878,9.894,9.851,9.863,122776.96,1211816.78447,3223,59158,583869.58251,-4461.700000000012
5130641,50614043.12813864,9.862,9.952,9.857,9.946,170983.82,1694791.59573,4773,96834,959935.76924,22683.5
5129589,51029153.06316000,9.945,9.965,9.935,9.939,63114.32,627933.58617,2195,33954,337821.22932,4794.620000000003
5133438,51036192.65996940,9.940,9.983,9.940,9.974,76622.87,763805.91610,2234,42303,421667.54212,7982.570000000007
5140248,51266203.62463629,9.974,9.981,9.949,9.955,51141.23,509362.57391,1852,17665,175945.46263,-15811.730000000003
5139500,51157962.44238656,9.956,9.978,9.942,9.956,57098.87,568850.05754,1703,28315,282089.60553,-469.7300000000032
5152035,51303557.38504087,9.956,10.033,9.945,10.030,95773.68,956834.02657,2928,65186,651109.39924,34598.78000000001
5152521,51672267.39911776,10.030,10.044,9.990,9.997,89647.48,897838.81357,2647,29956,300042.83214,-29736.02
5165354,51638041.63869000,9.997,10.033,9.973,10.025,56159.63,561976.25860,1723,32495,325154.44701,8830.07
5161286,51741889.94450000,10.025,10.040,10.009,10.037,70075.87,702783.61189,2099,35683,357904.76754,1290.0100000000093
5156292,51734535.10254011,10.035,10.042,9.990,10.028,83941.60,840772.29673,1857,41163,412118.68168,-1616.1600000000035
5151071,51654937.07988000,10.029,10.031,10.028,10.028,1023.96,10269.45096,58,494,4950.05470,-36.86000000000007
