sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
20458218,4205349.55731528,0.2058,0.2067,0.2051,0.2061,1342540,276290.6861,1898,684441,140881.8301,26342.0
20433507,4209851.89900323,0.2061,0.2074,0.2061,0.2063,565426,116848.6727,858,289770,59903.4199,14114.0
20371817,4202705.84710000,0.2063,0.2074,0.2061,0.2069,322233,66611.1912,546,199677,41293.3866,77121.0
20366745,4215916.21500000,0.2070,0.2071,0.2063,0.2067,474219,97995.3658,642,238952,49382.0619,3685.0
20427115,4221141.97768690,0.2067,0.2069,0.2059,0.2062,412664,85104.0779,504,126594,26119.7211,-159476.0
20403213,4207142.52060000,0.2062,0.2063,0.2050,0.2052,262372,53897.9732,462,93428,19199.9065,-75516.0
20353426,4175505.75096852,0.2052,0.2058,0.2043,0.2048,815082,167095.9630,1124,317039,65046.9819,-181004.0
20321371,4164600.60541329,0.2048,0.2049,0.2025,0.2035,1459785,297173.3110,2089,637264,129772.5861,-185257.0
20266739,4124281.38650000,0.2036,0.2049,0.2036,0.2049,304794,62263.2010,549,188344,38467.1299,71894.0
20271137,4153555.97130000,0.2050,0.2056,0.2049,0.2052,278834,57217.1646,474,127935,26253.1075,-22964.0
20254495,4156222.37400000,0.2052,0.2055,0.2044,0.2044,287180,58856.0977,457,112940,23158.7973,-61300.0
20293107,4151653.93145508,0.2044,0.2047,0.2035,0.2044,502847,102632.8730,841,196177,40061.9019,-110493.0
20341959,4155703.14958062,0.2044,0.2047,0.2024,0.2030,486615,98940.0496,808,178068,36212.5651,-130479.0
20341434,4126280.02491966,0.2031,0.2035,0.2022,0.2023,558750,113318.1285,797,202810,41165.6276,-153130.0
20322659,4112573.34651646,0.2023,0.2029,0.2019,0.2021,609298,123262.3923,807,232797,47108.3746,-143704.0
20153759,4075308.13347238,0.2020,0.2031,0.2014,0.2030,897541,181348.0452,1204,311284,62960.0022,-274973.0
20260681,4108614.06392836,0.2030,0.2038,0.2028,0.2036,139452,28353.5228,255,82263,16727.5170,25074.0
20269057,4126780.00520000,0.2037,0.2040,0.2037,0.2038,132084,26927.6175,255,81110,16537.9967,30136.0
20252137,4127385.52060000,0.2039,0.2040,0.2033,0.2038,210441,42846.5902,368,75791,15439.7964,-58859.0
20243452,4125615.51760000,0.2038,0.2045,0.2036,0.2043,137817,28115.7840,345,85957,17537.2895,34097.0
20272828,4141738.76040000,0.2044,0.2046,0.2042,0.2044,183904,37583.2359,270,90483,18495.8025,-2938.0
20258425,4140621.10642400,0.2043,0.2044,0.2039,0.2042,110926,22638.3118,233,42839,8745.1698,-25248.0
20246843,4133433.08719914,0.2041,0.2043,0.2035,0.2042,189862,38735.8060,275,96435,19674.7828,3008.0
20273357,4140180.36515460,0.2042,0.2043,0.2037,0.2040,228736,46640.3219,313,79766,16273.0053,-69204.0
20319980,4144023.39643280,0.2040,0.2041,0.2020,0.2024,738793,149906.9261,840,153280,31102.2450,-432233.0
