sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
5135424,121032658.52528256,23.5690,23.6880,23.2350,23.6170,762020,17865891.6110,37780,368133,8634910.9520,-25754.0
5093175,120373008.55875824,23.6170,23.8640,23.4440,23.5220,617256,14603512.3230,27347,305644,7233236.2110,-5968.0
5080378,119546374.71800000,23.5250,23.5730,23.4440,23.4810,239313,5625033.0760,12789,118716,2790895.6750,-1881.0
5081629,119335279.84885158,23.4810,23.6470,23.4200,23.6320,230111,5418459.0530,12919,111092,2616256.4240,-7927.0
5071564,119804304.55785789,23.6320,23.6730,23.4700,23.5760,207147,4879154.5460,11087,103848,2446134.3200,549.0
5076746,119634781.72135799,23.5750,23.6000,23.0680,23.1080,647660,15064606.0650,31115,276051,6421849.7330,-95558.0
4998737,115444852.36227015,23.1100,23.2380,22.9220,22.9850,562733,13005787.1260,26868,244087,5645717.2270,-74559.0
4996537,114920822.17343910,22.9860,23.0830,22.7570,23.0200,944157,21619679.7840,42189,452337,10360296.6690,-39483.0
4973766,114398238.55243813,23.0210,23.1650,22.9700,23.1550,354530,8180558.7600,16400,189967,4384430.7910,25404.0
4979262,115279873.82400000,23.1560,23.5480,23.1560,23.4120,701673,16398393.4920,28441,366863,8573698.6070,32053.0
4945372,115800830.75200000,23.4130,23.4570,23.2360,23.4020,336077,7854186.7470,15191,163211,3815419.9930,-9655.0
4952157,115870569.48600000,23.4030,23.4700,23.3480,23.3980,197104,4612336.0240,8626,98913,2314803.0960,722.0
4956425,116016239.87592825,23.3990,23.4950,23.1020,23.1910,459532,10683786.2610,21545,218338,5076267.4250,-22856.0
4941896,114544442.54878928,23.1910,23.3520,23.0970,23.1300,269085,6248915.3260,13258,132868,3085799.0640,-3349.0
4954890,114641289.93000000,23.1330,23.2090,23.0530,23.0710,214798,4964989.0980,12088,96161,2223206.3590,-22476.0
4963689,114496754.83619013,23.0700,23.1910,23.0180,23.0400,296191,6839956.2770,15557,148937,3439209.6070,1683.0
4971790,114589815.92000000,23.0400,23.2990,23.0300,23.2520,217755,5043633.6810,12495,123203,2853788.5400,28651.0
4982430,115863248.84623230,23.2560,23.3490,23.2310,23.2870,192262,4477320.9520,10809,92579,2156012.9080,-7104.0
4996488,116328233.61600000,23.2880,23.4000,23.1790,23.1860,195642,4555892.1800,10208,97156,2263257.7960,-1330.0
5016039,116301724.30534749,23.1870,23.4980,23.1410,23.4510,255185,5957230.5050,14221,138261,3228639.8460,21337.0
5020775,117698498.87079825,23.4510,23.5390,23.4010,23.4270,249438,5855145.6600,12292,133070,3123957.0680,16702.0
5050734,118374052.75800000,23.4300,23.5210,23.3830,23.3930,176179,4131756.3110,8639,87862,2061125.7160,-455.0
5039616,117882773.22381312,23.3930,23.4890,23.3030,23.4770,152414,3564968.6150,8626,80708,1887958.4340,9002.0
5039357,118319063.00300000,23.4770,23.5750,23.3290,23.5550,199513,4678993.8320,10079,110858,2600199.6780,22203.0
5065513,119067206.36253744,23.5560,23.7290,23.5500,23.7050,366150,8653026.4790,16751,201746,4768400.2960,37342.0
