sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
4178775,26899996.50702225,6.44500,6.52000,6.41300,6.51100,140179,906263.53800,3765,74655,483083.16100,9131.0
4160843,27086199.71484479,6.51000,6.54200,6.50600,6.52600,118407,772245.38300,2785,65499,427177.01600,12591.0
4161865,27148237.06811515,6.52700,6.56000,6.51700,6.54400,88288,577430.57000,2280,49396,322977.92000,10504.0
4179560,27349524.62999680,6.54500,6.60000,6.54200,6.57400,150182,987534.74400,3727,88250,580211.44500,26318.0
4198412,27633515.68343696,6.57300,6.59500,6.55500,6.56100,66985,440135.44100,1957,31714,208422.18300,-3557.0
4197521,27544132.80200000,6.56200,6.59900,6.54800,6.55400,82554,542630.93000,2142,47651,313275.82200,12748.0
4210125,27600290.73863625,6.55300,6.57700,6.53800,6.54300,80741,529379.15500,2370,37344,244859.89300,-6053.0
4210696,27571271.91958720,6.54400,6.54500,6.46500,6.48900,297741,1935577.92300,5808,129505,841299.46000,-38731.0
4214510,27370216.85327100,6.49000,6.51400,6.48400,6.51400,98602,640841.94800,2190,49434,321374.07700,266.0
4210169,27410054.60103774,6.51400,6.56100,6.51000,6.55600,62269,407268.80500,1750,31508,206078.08500,747.0
4215896,27647031.66768760,6.55600,6.55900,6.52000,6.52000,46717,305714.42600,1396,22223,145408.50300,-2271.0
4216834,27508814.47615376,6.52000,6.52300,6.49100,6.50500,42611,277058.56100,1479,18544,120594.20800,-5523.0
4214038,27424959.30400000,6.50400,6.51000,6.43800,6.45200,82895,535696.30900,2790,43804,282984.56500,4713.0
4214442,27192674.14815414,6.45200,6.47200,6.43200,6.43700,89358,576508.44200,2391,43539,280985.91300,-2280.0
4207088,27104729.53606016,6.43800,6.45800,6.43200,6.43800,46253,298001.54600,1562,22205,143074.24100,-1843.0
4204291,27067225.45800000,6.43800,6.49600,6.42100,6.48800,135673,876514.82500,3345,77483,500771.84400,19293.0
4193141,27210991.72256717,6.48800,6.53300,6.48400,6.53100,70795,461302.27200,2015,44171,287786.89300,17547.0
4194002,27381405.97947198,6.53100,6.54200,6.51600,6.52100,54176,353740.14300,1581,26209,171176.73200,-1758.0
4190832,27327519.72356832,6.52100,6.53000,6.50700,6.50800,34068,222009.21900,1135,15856,103355.64800,-2356.0
4185916,27247030.18794036,6.50900,6.54100,6.50100,6.53900,30575,199381.96200,1070,17299,112814.62700,4023.0
4186303,27369548.45775029,6.53800,6.57200,6.52700,6.57000,41956,274885.74900,1327,23410,153378.39000,4864.0
4186800,27490800.23024400,6.57000,6.58300,6.53800,6.54000,89050,584568.26500,1864,31405,206303.43600,-26240.0
4197079,27453257.00537310,6.53900,6.55100,6.52600,6.55000,39181,256177.99900,1091,22654,148124.15900,6127.0
4192235,27456459.82492210,6.55000,6.56300,6.53600,6.54400,28570,187090.54500,957,13084,85677.84100,-2402.0
4190075,27419850.80000000,6.54500,6.54900,6.52600,6.53800,43874,286636.08900,1030,23506,153542.49200,3138.0
