sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
1162001,4576664.79496688,3.944,3.957,3.930,3.953,26554.4,104836.4479,879,12204,48189.3334,-2147.0
1166277,4610294.56220000,3.954,3.960,3.952,3.956,18278.7,72307.2812,417,8558,33861.9749,-1161.7000000000007
1173569,4640222.03472874,3.956,3.962,3.955,3.958,10342.5,40939.7174,387,4546,17993.4562,-1250.5
1177701,4661341.34960000,3.959,3.965,3.958,3.963,12503.3,49537.8815,436,6833,27073.2337,1162.7000000000007
1183752,4690789.68980376,3.963,3.965,3.959,3.964,10567.9,41878.8594,288,5558,22030.6338,549.1000000000004
1185000,4697339.60360000,3.964,3.967,3.951,3.951,19713.4,78072.8414,328,5441,21552.9783,-8831.800000000003
1190891,4704403.31772840,3.950,3.951,3.934,3.935,19018.1,74957.2427,552,10157,40022.4997,1295.7000000000007
1189330,4678675.81540260,3.935,3.935,3.896,3.910,88312.7,345660.1380,2116,53752,210430.6858,19190.5
1176266,4599201.17701877,3.910,3.924,3.907,3.924,13920.8,54521.9740,398,11052,43288.3216,8182.799999999999
1178140,4621313.02028049,3.923,3.931,3.922,3.930,15959.4,62683.8515,309,9454,37132.9864,2948.000000000002
1184340,4654458.16500000,3.930,3.931,3.922,3.925,11191.7,43945.7922,320,6812,26749.9574,2431.8999999999996
1184872,4651809.04240000,3.925,3.925,3.908,3.916,17785.4,69630.2345,376,9059,35461.2486,332.3999999999978
1184138,4636017.98292508,3.915,3.918,3.894,3.900,33099.8,129217.8391,761,22268,86929.7027,11436.599999999999
1178628,4593584.22503112,3.900,3.901,3.892,3.894,10530.2,41037.2151,380,4839,18856.8023,-853.0
1179333,4592323.09140000,3.894,3.895,3.884,3.886,24193.3,94127.7834,547,15654,60904.7476,7114.299999999999
1176662,4572509.69780000,3.886,3.890,3.878,3.889,22311.9,86702.1424,603,9967,38731.3038,-2378.300000000003
1176629,4574509.47279917,3.888,3.898,3.887,3.898,15262.1,59438.7766,421,10819,42134.4178,6376.499999999998
1181580,4605676.13304875,3.897,3.899,3.895,3.898,7485,29169.1381,232,3584,13967.1819,-317.1999999999998
1183887,4613435.95170726,3.897,3.899,3.896,3.898,12415.1,48394.2013,298,6320,24636.7139,224.29999999999927
1187935,4630548.34655979,3.897,3.901,3.895,3.898,15953,62186.8403,309,10264,40007.3928,4574.200000000001
1190974,4643428.59315135,3.898,3.903,3.897,3.901,10300.1,40172.9029,278,5769,22500.4284,1238.5
1193667,4655528.08894765,3.902,3.903,3.898,3.899,6881.8,26839.3097,226,3615,14098.5992,348.0
1194478,4657271.67150000,3.899,3.902,3.891,3.901,9061.3,35317.0561,276,4497,17529.5368,-67.29999999999927
1194388,4658459.31799263,3.901,3.904,3.897,3.901,7524.3,29349.4537,195,3524,13746.6231,-476.3000000000002
1195874,4665106.42450000,3.902,3.904,3.896,3.898,14676.7,57237.8565,261,4086,15943.7538,-6505.100000000001
