sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
606227,152996331.82728043,252.510,253.400,251.830,253.290,10240.81,2586901.99560,5677,5858,1480316.28840,1475.6499999999996
606673,153664156.04490000,253.300,253.960,253.220,253.440,6853.13,1738036.03090,4123,2957,749811.81150,-939.4700000000003
605692,153499455.67802462,253.440,253.800,253.260,253.680,3411.31,864962.47220,2194,1984,503093.30320,556.8899999999999
606350,153788885.62243432,253.670,253.810,253.300,253.490,2650.28,672011.53190,2163,1065,269933.32860,-521.1600000000003
606168,153639277.91500000,253.490,253.580,252.890,253,4051.99,1025805.03950,2378,1413,357744.62460,-1226.37
605332,153148882.15000000,253.010,253.110,252.110,252.230,8232.40,2078411.40080,3918,2359,595640.65090,-3514.4600000000005
606971,153084256.79400000,252.240,252.870,252.210,252.520,5755.19,1453363.06470,3395,3139,792540.49820,522.4700000000003
605922,153007319.90680000,252.520,252.530,251,251.510,23176.44,5830253.33940,8902,10203,2566431.52690,-2770.34
602288,151441181.90121080,251.510,252.230,251.410,252.210,5382.72,1355952.78930,3426,2749,692636.16860,116.19999999999982
602666,151998501.89659008,252.210,252.710,252.140,252.560,3851.39,972249.44610,3008,1888,476589.78280,-75.38999999999987
602642,152201597.53070920,252.560,252.650,252.140,252.160,3508.63,885473.34550,2382,1629,411026.57000,-251.1300000000001
602639,151961460.32640000,252.160,252.220,251.810,252.080,4041.96,1018684.98400,2182,1629,410546.28700,-784.3400000000001
602574,151914921.05560000,252.080,252.390,250.770,251.100,9178.61,2307573.11360,5066,3515,884181.47130,-2147.710000000001
601435,151009225.07944828,251.100,251.660,250.750,251.340,7729.35,1942222.10470,4707,5039,1266394.45660,2349.3099999999995
602712,151479564.23390000,251.340,251.470,250.920,250.930,4001,1004757.79890,3097,1802,452627.39830,-396.89999999999986
602624,151216452.86650000,250.920,251.500,250.800,251.340,5093.47,1279316.12060,3492,2726,684694.95340,358.8299999999999
602568,151449421.01280000,251.340,251.950,251.190,251.900,4833.26,1216022.74580,2563,1758,442560.98760,-1316.74
602988,151891698.59708940,251.910,252.160,251.770,252.060,3510.33,884524.67600,2058,1708,430449.44280,-93.92999999999984
602721,151909017.64118380,252.060,252.310,251.990,252.230,2716.31,684903.88180,2034,1360,342964.63630,4.0300000000002
602826,152048833.28702438,252.230,252.470,252.030,252.420,2580.39,650951.24910,1950,1239,312546.23980,-102.4699999999998
602699,152133357.30600000,252.420,252.460,252.280,252.430,2440.07,615817.02350,1324,1243,313663.33620,45.649999999999636
602687,152117902.48446187,252.430,252.430,252.220,252.360,2084.50,526035.62110,1360,909,229295.35440,-267.19999999999993
602946,152159462.65440000,252.360,252.360,251.960,252.250,2926.26,737932.55520,1529,933,235205.37880,-1060.88
602615,152015740.62320000,252.260,252.740,252.060,252.700,7101.64,1792256.45360,2138,4158,1049386.79080,1214.7599999999993
605605,153035529.83799750,252.700,252.780,252.250,252.300,2131.94,538403.25520,1351,1159,292584.75410,185.23999999999978
