sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
18216704,5717539.37360061,0.314500,0.316000,0.313000,0.315700,500590.7,157527.8476800,1262,301810,95024.6215700,103028.49999999994
18306251,5779051.26064973,0.315700,0.316600,0.314200,0.315100,325645.5,102720.2166500,901,175080,55237.7836600,24513.70000000001
18336662,5774958.14319302,0.315300,0.316000,0.315000,0.315900,113829.9,35911.3608200,367,51271,16172.7013800,-11288.5
18345058,5795203.79061000,0.315900,0.315900,0.314500,0.315100,258017.3,81281.1361900,585,69434,21880.5762000,-119150.29999999999
18418878,5803788.30025000,0.315100,0.315600,0.313300,0.313800,188072.2,59108.5499300,596,72321,22727.7179500,-43430.40000000002
18468502,5794780.08487837,0.313800,0.314100,0.310800,0.311900,1151365.8,359244.3817400,1485,399820,124886.5688100,-351726.6000000001
18388512,5732340.08923438,0.311900,0.312000,0.310700,0.311000,522852.5,162723.0672300,1226,243965,75946.8812700,-34923.09999999998
18391277,5719414.34216506,0.310900,0.311400,0.308900,0.309600,1343901.7,416807.9434400,2883,668220,207301.3320300,-7461.300000000047
18263653,5657161.00667913,0.309600,0.311900,0.309300,0.311900,425138.6,132147.0863500,1011,267213,83066.3169200,109286.80000000005
18269600,5697587.02156584,0.311800,0.312800,0.311500,0.311900,279016.6,87111.0328200,758,167953,52445.5852400,56888.80000000005
18292682,5705487.42223000,0.311900,0.313200,0.311800,0.312200,339783,106162.9726600,768,218940,68428.8385300,98096.0
18294167,5713608.38020081,0.312200,0.312300,0.310900,0.311100,216473.9,67444.2896900,627,89377,27845.0167600,-37719.5
18259107,5685522.98679186,0.311100,0.311800,0.308800,0.309900,335468.9,104050.9521200,942,120886,37506.4813400,-93696.10000000003
18240335,5648604.46795133,0.310000,0.310200,0.308200,0.308700,350117.1,108319.7981400,994,158155,48953.6416600,-33806.5
18238236,5632639.87497976,0.308800,0.309100,0.307800,0.307900,448676.2,138384.0078700,994,192145,59292.0673900,-64386.600000000035
18274347,5629475.39758158,0.307900,0.309300,0.307600,0.309000,428570.1,132180.7341800,1134,213629,65899.3159100,-1311.2999999999884
18322728,5660563.73265202,0.309100,0.309700,0.308900,0.309500,256939.7,79479.6691000,628,130662,40432.2217900,4385.099999999977
18359226,5682180.60175000,0.309500,0.309800,0.308900,0.309400,281000.4,86911.4144500,617,153394,47447.2105600,25788.199999999953
18313744,5661661.08325378,0.309400,0.309800,0.308800,0.309700,284925.5,88154.9586500,615,160677,49720.8720200,36428.70000000001
18320098,5673783.60331398,0.309800,0.310000,0.309400,0.309700,695913.2,215647.5735800,886,545137,168952.6614800,394361.0
18585003,5755779.76559074,0.309700,0.309900,0.309000,0.309700,253658.7,78505.2547000,420,87603,27118.9599100,-78453.5
18530171,5738793.86579000,0.309700,0.310000,0.309500,0.309800,125892,38997.1312300,350,79088,24502.9400300,32284.0
18556865,5748916.77700000,0.309700,0.310000,0.309400,0.309500,229005.6,70922.7630100,434,94347,29223.2299600,-40312.200000000026
18521598,5733516.89083867,0.309500,0.310000,0.309300,0.309900,172067.5,53287.5841400,415,103697,32115.8463200,35327.29999999999
18550646,5748424.80677391,0.309800,0.310000,0.309400,0.309500,97358.3,30151.3749300,292,42258,13088.6238800,-12842.5
