sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
46743978,8703272.94981450,0.1862,0.1866,0.1859,0.1862,591657,110194.0096,819,267798,49882.8580,-56061.0
46765082,8705392.50017710,0.1861,0.1864,0.1860,0.1862,208007,38723.3388,365,69493,12942.4371,-69021.0
46808458,8715734.87960000,0.1862,0.1862,0.1856,0.1859,468934,87161.4807,469,209201,38881.4323,-50532.0
46999673,8731688.07932197,0.1859,0.1861,0.1852,0.1853,237058,43994.1418,344,98004,18192.7703,-41050.0
46997508,8708638.23240000,0.1854,0.1855,0.1846,0.1846,383237,70937.2313,429,166627,30847.6310,-49983.0
47000207,8679296.04566742,0.1846,0.1852,0.1845,0.1848,387943,71718.4138,544,225843,41753.1557,63743.0
46998610,8683773.84441210,0.1847,0.1848,0.1826,0.1834,1493617,273988.3612,1667,596100,109320.0503,-301417.0
46949500,8603774.28553500,0.1834,0.1840,0.1834,0.1839,600604,110320.0987,679,225768,41476.0482,-149068.0
47162031,8673097.50090000,0.1840,0.1845,0.1839,0.1844,486122,89530.6222,549,290761,53555.1937,95400.0
47251091,8713101.18040000,0.1844,0.1845,0.1835,0.1838,610490,112227.2705,532,250680,46066.9260,-109130.0
47381670,8704705.02519870,0.1837,0.1838,0.1831,0.1835,499037,91542.8669,443,201090,36890.6466,-96857.0
47432772,8708656.93920000,0.1836,0.1837,0.1813,0.1822,1209636,220465.8009,1262,490947,89556.1751,-227742.0
47424936,8626790.77488696,0.1822,0.1823,0.1813,0.1815,799569,145401.5305,831,400647,72881.8172,1725.0
47532336,8627118.98400000,0.1816,0.1817,0.1808,0.1811,955524,173210.5572,1031,541781,98222.6490,128038.0
47510389,8604131.44790000,0.1811,0.1826,0.1808,0.1823,1367426,248717.7648,1361,939070,170756.7732,510714.0
47414157,8643600.82110000,0.1824,0.1832,0.1824,0.1831,444416,81240.9099,522,294696,53860.1966,144976.0
47361413,8671874.72030000,0.1831,0.1835,0.1828,0.1834,342518,62690.4265,467,190055,34796.1686,37592.0
47347405,8669261.08767285,0.1834,0.1840,0.1833,0.1840,439869,80794.9935,644,231148,42447.8314,22427.0
47298079,8702846.53600000,0.1840,0.1848,0.1839,0.1847,360912,66520.3184,479,220888,40715.0468,80864.0
47244516,8726062.10520000,0.1847,0.1849,0.1845,0.1848,284629,52576.0197,284,134376,24826.8141,-15877.0
47246664,8731183.50720000,0.1847,0.1851,0.1844,0.1848,366670,67746.4438,400,182787,33779.4547,-1096.0
47227984,8723008.64480000,0.1848,0.1848,0.1843,0.1848,152139,28074.0848,216,58952,10881.3229,-34235.0
47184435,8716054.63310415,0.1847,0.1850,0.1846,0.1850,126847,23438.0261,201,76256,14091.3679,25665.0
47201556,8728803.44113608,0.1849,0.1851,0.1844,0.1846,218216,40294.4737,284,71614,13224.8493,-74988.0
47156977,8703070.98046764,0.1846,0.1846,0.1846,0.1846,461,85.1006,3,461,85.1006,461.0
