sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
129216699,10277896.23846000,0.07953,0.07964,0.07941,0.07948,3161668,251489.23092,1189,1263916,100544.69307,-633836.0
129957082,10328457.35289462,0.07948,0.07970,0.07948,0.07963,2323401,184904.55759,884,1389830,110610.14450,456259.0
130694211,10407180.02193000,0.07965,0.07971,0.07960,0.07960,1394718,111103.19594,621,522050,41587.62523,-350618.0
131246859,10447249.97640000,0.07960,0.07964,0.07955,0.07961,1304546,103835.59437,555,747407,59491.71166,190268.0
131216322,10445481.87362610,0.07961,0.07968,0.07952,0.07954,2900994,230930.11146,1068,2208209,175798.44389,1515424.0
130522438,10381754.71852000,0.07954,0.07959,0.07936,0.07937,2772226,220327.86607,1035,1174026,93320.96027,-424174.0
130375220,10347881.21140000,0.07937,0.07939,0.07864,0.07888,8926569,705375.10668,3602,4260941,336724.25947,-404687.0
129405183,10207480.83504000,0.07889,0.07914,0.07888,0.07913,2837075,224162.01689,1074,1613041,127458.27645,389007.0
130394287,10316351.34292133,0.07913,0.07933,0.07910,0.07930,3680059,291556.35253,1106,2004455,158804.41413,328851.0
131148740,10400867.54807860,0.07931,0.07934,0.07919,0.07929,2623285,207972.22484,731,1024324,81206.41064,-574637.0
131685427,10441337.50683000,0.07929,0.07930,0.07911,0.07926,1877302,148713.91738,541,958807,75949.07888,40312.0
132088632,10468024.08600000,0.07926,0.07931,0.07868,0.07881,2847373,224742.47254,1018,1234143,97391.19395,-379087.0
131598709,10369634.79656951,0.07882,0.07891,0.07855,0.07859,2999736,236401.78661,1235,1542678,121618.71605,85620.0
132003065,10374120.87835000,0.07860,0.07871,0.07851,0.07853,2448601,192484.69170,1151,1576283,123931.35142,703965.0
132476811,10403403.96783000,0.07853,0.07870,0.07842,0.07869,2337928,183698.60403,992,1195352,93937.02580,52776.0
132450909,10417752.73670421,0.07869,0.07883,0.07868,0.07880,1451528,114338.28548,570,699212,55079.58879,-53104.0
132792283,10465359.82323000,0.07881,0.07891,0.07881,0.07885,1667585,131517.64294,569,983696,77587.37899,299807.0
133418474,10520046.67490000,0.07886,0.07895,0.07881,0.07892,2646598,208759.61884,759,1041021,82124.09496,-564556.0
134145807,10586787.08844000,0.07891,0.07910,0.07885,0.07907,1614239,127398.50595,674,954222,75309.26414,294205.0
134595864,10638325.18661328,0.07905,0.07928,0.07904,0.07925,779103,61654.24103,439,477267,37771.93884,175431.0
134498476,10659004.22300000,0.07926,0.07927,0.07904,0.07910,1503504,119021.68378,651,500046,39576.03256,-503412.0
134524414,10640881.14740000,0.07909,0.07913,0.07893,0.07911,730830,57764.58316,428,394010,31150.62190,57190.0
134405171,10630945.00670875,0.07910,0.07925,0.07906,0.07922,850636,67328.39627,440,502264,39756.59327,153892.0
134324067,10641152.58774000,0.07923,0.07925,0.07901,0.07912,1235511,97722.60426,603,451388,35707.95786,-332735.0
134085989,10606770.25449336,0.07912,0.07912,0.07908,0.07909,54637,4321.54656,44,20493,1620.76408,-13651.0
