sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
705774661,2683933.99634402,0.0038030,0.0038090,0.0037970,0.0038040,3243536,12334.0444050,243,1552750,5904.9344520,-138036.0
706065729,2685040.87555578,0.0038020,0.0038060,0.0037960,0.0038030,3760091,14288.2775430,133,929946,3535.9208400,-1900199.0
705237824,2682019.44467200,0.0038030,0.0038140,0.0038000,0.0038130,3185627,12125.0170670,191,1952135,7431.2296990,718643.0
706301257,2691925.98080410,0.0038120,0.0038150,0.0038050,0.0038130,3385952,12904.5869700,200,1352737,5156.1562820,-680478.0
706005217,2691955.53210798,0.0038120,0.0038140,0.0037940,0.0037950,4941107,18798.6479560,204,1203741,4577.9035460,-2533625.0
706362796,2678647.80410732,0.0037960,0.0038000,0.0037840,0.0037920,4348182,16488.0941610,351,1677867,6363.2654640,-992448.0
705897977,2676765.12878400,0.0037910,0.0037910,0.0037560,0.0037600,16376203,61672.7696930,789,5072359,19099.9459850,-6231485.0
702101177,2639900.42552000,0.0037620,0.0037870,0.0037620,0.0037860,6538812,24685.3778130,344,4382332,16542.3575690,2225852.0
703149257,2659352.67892942,0.0037860,0.0037980,0.0037850,0.0037960,1218032,4616.8184030,159,738087,2797.8596900,258142.0
703292979,2668996.85530500,0.0037950,0.0037950,0.0037860,0.0037870,1852593,7020.8920130,175,752333,2851.3562210,-347927.0
702822426,2662291.34968800,0.0037870,0.0037890,0.0037780,0.0037850,4430939,16760.8033690,164,1478245,5593.2947170,-1474449.0
701868139,2656248.04677106,0.0037850,0.0037870,0.0037600,0.0037680,3366030,12689.7751640,253,1703614,6420.8865700,41198.0
701964717,2643465.75092577,0.0037690,0.0037700,0.0037490,0.0037590,11960902,44925.9016180,340,2702313,10160.3487360,-6556276.0
699233585,2628419.04601500,0.0037580,0.0037620,0.0037430,0.0037450,4457284,16710.5429060,264,1414006,5303.4863380,-1629272.0
698685806,2616403.67201850,0.0037450,0.0037690,0.0037430,0.0037680,9182362,34479.8234330,392,6482381,24348.4305820,3782400.0
696861375,2624212.69152000,0.0037670,0.0037750,0.0037620,0.0037740,1885366,7104.7902660,122,1133442,4271.9710680,381518.0
697318241,2631679.04153400,0.0037730,0.0037910,0.0037720,0.0037900,8029380,30368.2874210,309,4906542,18562.2479280,1783704.0
698579916,2645997.17623488,0.0037890,0.0037920,0.0037780,0.0037880,11481483,43462.8314730,424,4065160,15393.9935080,-3351163.0
703304108,2664115.96110400,0.0037890,0.0038040,0.0037870,0.0038010,4064943,15432.9372540,250,2120830,8053.4533410,176717.0
704224764,2676758.32796400,0.0038010,0.0038130,0.0038000,0.0038130,2681486,10205.2585990,109,1678104,6386.9267190,674722.0
705017014,2686051.37180874,0.0038120,0.0038150,0.0038060,0.0038120,3932980,14978.7862480,136,1009083,3845.6409120,-1914814.0
704869975,2686964.34470000,0.0038120,0.0038210,0.0038070,0.0038190,3610180,13766.2664630,219,2590499,9878.9916520,1570818.0
704832041,2690280.46561331,0.0038190,0.0038210,0.0038140,0.0038180,1551050,5920.2732390,84,652217,2490.1683330,-246616.0
704883764,2691175.72257560,0.0038180,0.0038180,0.0038080,0.0038120,2424877,9243.5994600,173,680649,2594.4232040,-1063579.0
704598690,2684556.23883450,0.0038090,0.0038090,0.0038040,0.0038060,1023662,3895.8640230,45,80030,304.5571840,-863602.0
