sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
4645624,3219759.55935647,0.693300,0.693900,0.691200,0.692000,28493.6,19725.8936200,261,15128,10473.7214200,1763.0
4643329,3208616.72066546,0.692000,0.694400,0.691700,0.694000,12977.6,8994.5185400,198,5953,4125.5597200,-1071.3999999999996
4643410,3219786.39379769,0.693900,0.694300,0.692700,0.693600,19980.8,13854.7096200,196,5916,4102.9662500,-8148.0
4647563,3223549.41936000,0.693600,0.693900,0.692300,0.693100,12204.1,8457.2680400,149,6568,4552.4524600,931.6999999999989
4647142,3220933.91227000,0.693100,0.693500,0.689700,0.690400,14734.9,10190.3504100,185,5197,3596.8097800,-4340.299999999998
4645973,3206506.46772930,0.690300,0.692300,0.688100,0.690600,37470.6,25880.6074200,472,19462,13447.7688500,1452.800000000003
4640146,3204484.75854000,0.690500,0.690500,0.683600,0.684300,252968.5,173348.5832100,909,101059,69272.7143400,-50850.90000000001
4637690,3174035.24132000,0.684600,0.687700,0.684300,0.687500,67470.8,46276.9431900,445,38590,26475.3993200,9708.800000000003
4633797,3183994.75324598,0.687500,0.689100,0.686700,0.688600,32472,22325.7833800,339,13034,8963.8656400,-6404.5999999999985
4648505,3200960.33642000,0.689100,0.691000,0.687600,0.689700,59810.5,41243.8096700,362,39395,27166.6496000,18978.699999999997
4660836,3212823.40765830,0.689600,0.690400,0.687700,0.689900,28910.3,19929.8791300,308,16423,11322.4650200,3936.100000000002
4660392,3216602.28232000,0.689900,0.690600,0.684000,0.684000,50324.5,34527.9871800,413,26324,18057.5920700,2323.699999999997
4655802,3187362.39150000,0.684500,0.684800,0.681100,0.681100,87065.8,59440.4427100,607,30610,20901.2205000,-25846.400000000005
4651296,3168377.39419503,0.681400,0.682100,0.678000,0.679300,130502.2,88701.3983500,835,44344,30160.3134800,-41814.39999999999
4627419,3143405.65877000,0.678900,0.680800,0.673100,0.677100,305943.8,206914.9350900,1590,94064,63661.5614900,-117815.79999999999
4643922,3145033.40608861,0.677000,0.679700,0.675900,0.679100,52511.1,35627.0020400,413,25474,17287.3724000,-1563.699999999997
4653402,3160125.09447000,0.679100,0.681800,0.679100,0.681800,44168.4,30069.5033400,337,33337,22698.2164600,22505.6
4658291,3176022.66744000,0.681600,0.683500,0.681500,0.682500,57726.5,39397.5359000,335,19987,13643.1445100,-17751.899999999998
4658879,3179684.91750000,0.682600,0.686000,0.682300,0.685800,53723.1,36754.5188500,266,37971,25986.5885300,22219.700000000004
4664610,3199922.73440000,0.685600,0.685800,0.684100,0.685600,16597.9,11369.7819100,157,8190,5611.4086000,-217.70000000000073
4671264,3202618.46128000,0.685300,0.685300,0.683900,0.684300,22905.1,15681.4077900,188,10834,7417.8329000,-1236.0999999999985
4668777,3193133.34612607,0.684200,0.684700,0.682300,0.684500,31871.9,21773.3643700,225,9997,6835.0031700,-11878.300000000003
4668806,3195797.63855000,0.684400,0.687800,0.684100,0.686800,60112.8,41279.8101600,291,26854,18435.1283500,-6405.400000000005
4675149,3207760.03314995,0.686600,0.688900,0.685000,0.685400,54503.7,37500.0346300,437,15225,10471.3311300,-24052.899999999994
4678240,3204137.00510844,0.685500,0.686100,0.685500,0.685700,3260.3,2236.4969600,43,1542,1057.9126500,-175.70000000000027
