sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
46826872,28503763.11313514,0.610,0.614,0.607,0.613,1601905.7,977021.7439,1214,770813,470188.4469,-60279.89999999991
46789249,28681809.75960000,0.613,0.616,0.613,0.615,609714.5,374568.0854,470,291332,179010.4846,-27051.300000000047
46766081,28722610.23760333,0.614,0.617,0.614,0.616,768781.3,473063.6182,602,418174,257339.4061,67565.8999999999
46795921,28826287.52080000,0.617,0.619,0.615,0.618,651504.9,402172.6023,714,311096,192107.8281,-29312.099999999977
46822576,28936351.90620000,0.617,0.619,0.615,0.616,432740.5,266826.6857,357,175930,108463.3052,-80880.5
46784317,28798615.27530688,0.616,0.617,0.612,0.613,607722.3,373389.8919,483,254284,156219.6103,-99155.30000000005
46837488,28701338.30912992,0.612,0.614,0.611,0.612,744142.4,456021.1968,557,410495,251531.5299,76847.0
46836763,28664099.07840000,0.611,0.612,0.605,0.608,1436102.7,873071.4316,1494,705345,428961.1991,-25411.899999999907
46822195,28430498.54857727,0.608,0.612,0.607,0.611,766772.5,467771.6065,569,386696,235875.5791,6619.699999999953
46845906,28622848.50490000,0.612,0.612,0.611,0.611,630006.5,385420.9865,449,293917,179812.6701,-42172.69999999995
46846380,28623138.48550000,0.611,0.612,0.608,0.609,545145.1,332341.2888,507,170808,104079.7054,-203529.29999999996
46878124,28548777.21150000,0.608,0.609,0.607,0.608,397404.1,241589.0817,376,182149,110751.3330,-33106.5
46933500,28539919.08316646,0.608,0.609,0.603,0.606,841015.5,509086.8236,964,391097,236675.2450,-58822.30000000005
46999097,28438081.19632190,0.605,0.607,0.604,0.604,978217.8,592402.0708,653,392913,237971.3677,-192391.6000000001
46950388,28404984.92150000,0.604,0.606,0.604,0.604,705550.8,426911.2603,521,328679,198939.3804,-48193.60000000009
46835457,28288615.78640000,0.605,0.607,0.604,0.606,683703.1,413793.8107,598,326020,197327.4641,-31662.29999999993
46823324,28393591.32312166,0.607,0.608,0.606,0.608,505442.2,307064.0521,394,240510,146098.4618,-24423.20000000001
46842398,28451376.28495018,0.608,0.608,0.606,0.606,319716.2,194067.8309,282,127121,77170.6588,-65474.8
46834934,28381970.06460000,0.607,0.609,0.605,0.608,381848.2,231883.8203,456,267686,162697.8229,153524.8
47004167,28578533.53600000,0.609,0.610,0.608,0.609,138404.4,84285.3876,221,57799,35205.7756,-22807.19999999999
47021852,28636307.68530000,0.610,0.611,0.608,0.610,485271.3,295780.6107,377,212348,129451.0834,-60575.70000000001
46997344,28668379.53500000,0.610,0.611,0.608,0.609,343630,209359.9224,294,155374,94671.3690,-32881.79999999999
47005818,28626543.34470000,0.610,0.610,0.608,0.610,156973.6,95583.6200,144,53294,32460.4123,-50385.4
47017705,28671479.38212115,0.610,0.611,0.609,0.610,156879.6,95692.7600,156,91914,56068.8002,26948.79999999999
46990242,28663703.24252541,0.611,0.611,0.608,0.609,316333,192745.6417,308,116364,70924.8676,-83604.79999999999
