sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
36922366,26929063.57424882,0.730,0.735,0.727,0.735,1735707.7,1268402.4519,2084,960690,702295.8888,185673.1000000001
36821290,27016542.89517176,0.734,0.736,0.733,0.735,953413.6,700244.9001,944,483815,355354.1557,14217.0
36824178,27052631.81544078,0.735,0.736,0.734,0.736,466631,343014.2016,472,238427,175277.0710,10222.799999999988
36792169,27072567.43768159,0.736,0.737,0.734,0.736,708706.4,521028.9848,527,374010,275011.0884,39312.79999999993
36699922,27011142.37120000,0.737,0.738,0.735,0.737,498247,366938.7327,562,215751,158898.3942,-66744.59999999998
36658165,27003093.58443613,0.737,0.737,0.733,0.733,481840.6,354294.9950,464,167903,123496.5315,-146034.79999999996
36655230,26878112.17671857,0.734,0.736,0.733,0.734,709658,521292.1813,695,379774,278974.2989,49889.59999999998
36588564,26854111.49355090,0.734,0.734,0.726,0.728,2277199.1,1660367.1674,2981,1104711,805474.2289,-67776.70000000019
36431762,26510190.88648730,0.728,0.732,0.727,0.730,1524643.5,1112506.8131,1107,845022,616626.2324,165401.30000000005
36516878,26657320.86700000,0.730,0.734,0.730,0.733,1056792.4,773313.2046,918,567344,415299.5497,77896.40000000014
36448939,26717071.99380000,0.733,0.735,0.731,0.731,1748651.3,1282172.2269,1371,952270,698524.8009,155889.5
36304359,26548187.67981198,0.732,0.733,0.730,0.732,777118,568729.1868,495,408108,298723.5566,39098.80000000005
36261629,26543512.13520000,0.732,0.734,0.728,0.730,1224640.4,894423.6609,1200,628639,459004.5936,32638.0
36149589,26362077.94493600,0.729,0.730,0.728,0.728,694580.1,506163.4684,635,354787,258632.7522,14993.5
36045805,26241345.96720000,0.728,0.729,0.726,0.726,1632143.2,1187072.1379,1418,781513,568484.8839,-69117.0
35906866,26075775.56743569,0.726,0.731,0.725,0.731,1367750,996873.9705,1438,760157,554005.0113,152564.0
35985795,26285876.92991380,0.730,0.734,0.730,0.733,967056.7,707908.6312,823,481972,352809.9580,-3113.6999999999534
36046069,26420892.94468642,0.733,0.735,0.732,0.733,566893.3,415917.2252,540,301642,221306.9285,36391.09999999998
36065981,26442449.55336645,0.734,0.736,0.733,0.735,838367.8,615695.3854,751,391225,287365.0906,-55917.80000000005
36122376,26541821.64171257,0.735,0.736,0.733,0.735,518653.1,380991.6957,544,344712,253235.9087,170770.90000000002
36106655,26552481.03745312,0.736,0.737,0.734,0.737,662171,486863.4838,643,288618,212262.9723,-84935.0
36070481,26575494.91314917,0.737,0.749,0.735,0.746,7426654.3,5524801.1786,7538,4280438,3181956.9951,1134221.8999999994
37257078,27793780.18800000,0.747,0.747,0.744,0.746,2076647.6,1547610.6949,1660,1047509,780785.6508,18370.59999999986
37194902,27747397.04120000,0.747,0.749,0.744,0.749,1269334.8,947046.0654,1161,593499,442963.0928,-82336.19999999995
37271750,27879268.92520000,0.748,0.753,0.747,0.750,4242475.8,3181558.2557,3690,2165237,1624305.3838,87997.79999999981
