sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
37003664,16060527.47880912,0.4349000,0.4380000,0.4324000,0.4369000,1598996,696432.6302000,2867,908069,395753.3624000,217142.0
37128230,16221323.68700000,0.4369000,0.4377000,0.4347000,0.4352000,748210,326463.1874000,1658,342052,149256.4570000,-64106.0
37219559,16194619.43748714,0.4351000,0.4363000,0.4345000,0.4351000,507961,221072.9043000,1147,230702,100416.2230000,-46557.0
37247565,16205127.51070230,0.4351000,0.4372000,0.4344000,0.4367000,455451,198486.9245000,1031,275166,119969.2785000,94881.0
37301428,16289533.60760000,0.4367000,0.4370000,0.4334000,0.4336000,516071,224380.1336000,1193,225777,98153.3371000,-64517.0
37372435,16204687.81600000,0.4336000,0.4339000,0.4309000,0.4318000,1035943,447784.6263000,1948,280082,121138.7941000,-475779.0
37401443,16146268.76963968,0.4317000,0.4349000,0.4308000,0.4329000,995008,430925.4710000,1880,509186,220528.2995000,23364.0
37428963,16202998.08270000,0.4329000,0.4332000,0.4284000,0.4301000,2220952,955668.1150000,3730,881887,379704.4373000,-457178.0
37376960,16075880.58112640,0.4302000,0.4336000,0.4297000,0.4331000,884106,382036.5562000,1938,458325,198063.1869000,32544.0
37407748,16194417.12209776,0.4331000,0.4365000,0.4326000,0.4354000,914382,397514.8093000,1969,541274,235412.7612000,168166.0
37446761,16304319.73940000,0.4350000,0.4358000,0.4342000,0.4349000,456274,198528.0911000,1155,219903,95699.3495000,-16468.0
37469523,16295495.55270000,0.4349000,0.4355000,0.4330000,0.4342000,786660,341896.0384000,1605,455264,197932.6519000,123868.0
37607833,16340603.43850000,0.4342000,0.4349000,0.4290000,0.4305000,1157275,498839.2674000,2281,515553,222198.1277000,-126169.0
37624070,16186092.75736530,0.4305000,0.4315000,0.4290000,0.4296000,931074,400732.1982000,1689,396882,170842.7592000,-137310.0
37757568,16220651.21280000,0.4297000,0.4304000,0.4277000,0.4283000,1497404,642349.0501000,2190,535830,229966.0711000,-425744.0
37585488,16097864.51040000,0.4282000,0.4314000,0.4272000,0.4307000,1166090,500585.9407000,2011,513545,220623.9037000,-139000.0
37657718,16230476.45800000,0.4308000,0.4329000,0.4308000,0.4321000,683347,295151.2052000,1208,352259,152153.3703000,21171.0
37661729,16271964.68630530,0.4322000,0.4325000,0.4308000,0.4321000,921774,398040.0374000,1016,512223,221215.3993000,102672.0
37788785,16319923.82383775,0.4321000,0.4351000,0.4310000,0.4350000,712844,308626.8539000,1427,368618,159604.0799000,24392.0
37853995,16463165.37985885,0.4351000,0.4359000,0.4339000,0.4348000,979623,425971.9244000,1434,471298,205005.4891000,-37027.0
38044954,16541945.99920000,0.4349000,0.4359000,0.4334000,0.4356000,394026,171260.4157000,808,192549,83704.7011000,-8928.0
38059813,16574690.03806154,0.4356000,0.4358000,0.4338000,0.4339000,448545,194983.0887000,904,171154,74416.2807000,-106237.0
38058525,16510989.27204900,0.4339000,0.4351000,0.4326000,0.4350000,590457,256044.7082000,962,250792,108764.6274000,-88873.0
38031936,16543892.16000000,0.4349000,0.4358000,0.4338000,0.4353000,502510,218435.0836000,1001,240948,104750.4766000,-20614.0
38016135,16548423.56550000,0.4352000,0.4357000,0.4337000,0.4349000,396511,172237.5356000,833,172097,74784.4832000,-52317.0
