sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
14001319,9808137.05966503,0.701,0.706,0.698,0.705,495640.6,347450.7439,781,245882,172483.0669,-3877.399999999965
13973256,9851008.82155632,0.705,0.707,0.703,0.706,333636.9,235208.1104,565,141552,99809.9877,-50533.5
14005962,9870814.46571011,0.706,0.708,0.704,0.706,181259,128060.6865,394,88596,62586.2333,-4067.2000000000116
14016156,9897361.59947117,0.706,0.709,0.705,0.708,222966.8,157599.6954,381,128902,91158.7778,34836.40000000002
14025986,9917594.04705788,0.708,0.708,0.704,0.705,172656.4,121867.0535,289,80875,57071.1462,-10907.0
14045085,9901785.06600000,0.706,0.706,0.701,0.702,183319.1,128975.9406,404,58443,41135.1546,-66432.5
14043445,9844454.73470000,0.702,0.704,0.700,0.702,332861,233727.8368,607,150378,105605.4790,-32105.599999999977
14068909,9876374.39880000,0.701,0.702,0.694,0.696,979609.2,682504.1848,1443,414056,288549.0289,-151498.19999999995
14094054,9810231.89192695,0.697,0.703,0.696,0.703,423791.6,296458.6586,630,268167,187664.1595,112543.20000000007
14080729,9884291.08528514,0.702,0.705,0.701,0.705,225089.8,158219.2165,371,121574,85503.5276,18058.600000000006
14067217,9902317.70503503,0.705,0.705,0.701,0.701,309927.5,217860.9077,528,131880,92747.8797,-46167.5
14053368,9856676.69485213,0.702,0.703,0.699,0.703,183973.2,128974.8187,322,109798,76992.6241,35623.0
14050732,9860403.41209230,0.703,0.704,0.696,0.697,461241,322631.8995,717,215689,150776.7149,-29862.79999999999
14061006,9800521.18200000,0.698,0.698,0.695,0.697,360304.1,251133.2264,593,193266,134761.3479,26228.300000000047
13986346,9740983.54226993,0.697,0.697,0.694,0.694,341519,237721.2322,533,139320,97038.0885,-62878.79999999999
13957116,9695099.73737724,0.695,0.699,0.693,0.698,441632.9,307319.7064,651,240345,167258.3099,39056.69999999995
13940479,9730454.27220000,0.699,0.702,0.698,0.700,202228.4,141627.2461,363,106217,74383.3426,10205.600000000006
13950147,9765102.90000000,0.701,0.702,0.699,0.700,135383.4,94839.6836,209,31008,21730.1789,-73366.79999999999
13977160,9784011.93000000,0.700,0.701,0.698,0.701,235652.4,164803.0078,383,114557,80139.4635,-6538.0
14036379,9823894.48882611,0.701,0.703,0.699,0.702,284971.7,199968.8417,409,194788,136703.6728,104604.89999999997
14032584,9850873.61700000,0.702,0.704,0.702,0.703,319092.9,224353.2861,365,193830,136289.5759,68567.09999999998
13906717,9775808.97109503,0.703,0.704,0.702,0.704,120151.4,84458.0116,202,54725,38472.8484,-10701.199999999997
13901823,9780296.85065485,0.704,0.704,0.701,0.704,174033.5,122201.3957,220,64381,45222.2442,-45270.700000000004
13851598,9747483.86310566,0.704,0.704,0.703,0.704,52534.9,36982.5371,101,40430,28462.3680,28324.1
13834470,9734331.04648217,0.704,0.704,0.701,0.703,148225.4,104124.2520,250,41639,29248.7147,-64947.79999999999
