sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
4751,1839099.81036194,387.28000,387.45000,386.48000,387.21000,60.03,23241.6841000,161,23,9004.2276000,-13.509999999999994
4769,1846653.98625640,387.21000,387.82000,386.91000,387.44000,29.55,11451.3886000,182,20,7882.6951000,11.129999999999999
4782,1852672.21520000,387.37000,387.70000,387.37000,387.48000,7.12,2759.9572000,55,3,1310.2041000,-0.3600000000000003
4783,1853425.33440000,387.54000,387.54000,386.92000,387.06000,10.95,4239.5833000,95,6,2342.1842000,1.1500000000000004
4778,1849256.56200000,387.09000,387.17000,386.28000,386.29000,21.60,8348.8446000,100,3,1252.4178000,-15.12
4775,1845959.72333944,386.35000,386.82000,386.05000,386.44000,32.12,12409.5890000,134,9,3581.6525000,-13.579999999999998
4764,1841488.22967482,386.44000,386.44000,384.83000,385.35000,92.19,35557.4692000,336,45,17255.9641000,-2.6899999999999977
4749,1830552.88370150,385.46000,387.10000,385.46000,387.07000,38.52,14886.3681000,305,31,12094.7457000,24.059999999999995
4757,1840592.92095543,387.10000,388.95000,387.10000,388.95000,27.71,10748.8585000,165,19,7410.7622000,10.490000000000002
4757,1848929.95561656,388.90000,389.06000,387.16000,387.59000,22.42,8699.7808000,208,9,3478.7977000,-4.48
4754,1843121.93409178,387.56000,387.56000,386.76000,387.20000,17,6581.7300000,72,3,1060.7370000,-11.52
4760,1843145.56800000,387.26000,387.42000,385.88000,386.02000,42.46,16403.1462000,157,9,3622.8804000,-23.699999999999996
4780,1845323.98833834,386.13000,386.37000,385.70000,385.80000,21.72,8384.0653000,193,10,3907.3050000,-1.4800000000000004
4778,1843302.88717633,385.70000,386.01000,385.41000,385.50000,16.03,6181.9881000,124,6,2356.6881000,-3.8100000000000014
4782,1844224.94043583,385.40000,386.64000,385.23000,386.60000,16.65,6423.1249000,170,10,4027.9333000,4.23
4781,1847714.17032203,386.55000,387.38000,386.47000,387.32000,5.51,2132.1434000,67,3,1145.4494000,0.41000000000000014
4782,1852001.56560000,387.32000,387.56000,387.18000,387.39000,9.56,3703.1094000,93,4,1499.1823000,-1.8200000000000003
4781,1852243.30260000,387.40000,387.91000,386.96000,387.91000,42.16,16332.9629000,230,18,6980.2215000,-6.1399999999999935
4772,1849507.98267916,387.85000,388.27000,387.70000,388.18000,23.32,9051.1314000,101,18,6909.1079000,12.280000000000001
4771,1851186.31725480,388.13000,388.67000,387.91000,388.66000,8.92,3462.9536000,78,5,2023.3242000,1.5
4773,1854218.11604650,388.66000,388.88000,388.39000,388.40000,30.70,11932.3994000,101,18,6872.1482000,4.66
4789,1860179.65600000,388.39000,388.39000,388.12000,388.33000,5.75,2232.3997000,45,2,799.8820000,-1.63
4788,1859136.65782426,388.32000,388.56000,388.16000,388.56000,6.43,2496.9178000,44,3,998.0834000,-1.29
4788,1859549.31964355,388.53000,388.53000,388,388.03000,7.35,2852.8977000,64,4,1634.0213000,1.0700000000000003
4785,1856828.31810000,388.16000,388.16000,388.16000,388.16000,0.02,7.7632000,1,0,0,-0.02
