sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
22570887,7688978.05162170,0.3412000,0.3441000,0.3397000,0.3436000,317230,108592.9554000,1138,214821,73593.0803000,112412.0
22523587,7739104.49320000,0.3436000,0.3448000,0.3434000,0.3441000,141859,48807.3795000,440,49546,17047.0351000,-42767.0
22520051,7747114.41209113,0.3440000,0.3459000,0.3435000,0.3450000,193804,66819.8507000,593,134295,46299.7009000,74786.0
22474629,7753747.00500000,0.3449000,0.3455000,0.3446000,0.3453000,63924,22059.7071000,296,26531,9156.1284000,-10862.0
22457768,7754667.29040000,0.3454000,0.3456000,0.3443000,0.3450000,87649,30246.2408000,297,44332,15300.9971000,1015.0
22432750,7738285.01402750,0.3451000,0.3452000,0.3433000,0.3434000,114179,39310.2356000,346,37556,12936.6376000,-39067.0
22407699,7694803.83660000,0.3435000,0.3445000,0.3427000,0.3437000,153677,52814.1621000,510,72149,24799.0374000,-9379.0
22386914,7694382.34180000,0.3437000,0.3437000,0.3397000,0.3408000,415009,141537.5520000,1025,142344,48499.6162000,-130321.0
22460510,7651205.74844970,0.3408000,0.3427000,0.3406000,0.3426000,105889,36187.4377000,356,62801,21461.7943000,19713.0
22459948,7691041.97245020,0.3426000,0.3434000,0.3425000,0.3433000,80263,27532.3593000,270,41758,14323.9005000,3253.0
22465675,7712466.22750000,0.3434000,0.3435000,0.3414000,0.3414000,131425,44978.4688000,358,36818,12604.6204000,-57789.0
22466958,7674106.69427316,0.3415000,0.3420000,0.3410000,0.3416000,86487,29532.2828000,249,43717,14927.2454000,947.0
22460686,7676465.46976612,0.3415000,0.3421000,0.3385000,0.3399000,186429,63398.9208000,606,64481,21927.9902000,-57467.0
22437174,7620807.68878704,0.3398000,0.3405000,0.3391000,0.3396000,135516,46047.1173000,420,65792,22358.6402000,-3932.0
22428914,7613763.10711144,0.3396000,0.3400000,0.3381000,0.3381000,205493,69654.0425000,615,91410,30996.6118000,-22673.0
22421118,7582754.62003482,0.3382000,0.3398000,0.3373000,0.3396000,261797,88638.0302000,729,107521,36431.7165000,-46755.0
22365401,7593340.14028681,0.3396000,0.3407000,0.3396000,0.3404000,81074,27580.8274000,299,43931,14946.8368000,6788.0
22359517,7611179.58680000,0.3405000,0.3408000,0.3400000,0.3406000,116511,39663.8787000,299,62716,21354.3678000,8921.0
22354057,7613791.81420000,0.3406000,0.3415000,0.3404000,0.3413000,92140,31417.0623000,329,63146,21536.5110000,34152.0
22368216,7632836.97606144,0.3414000,0.3420000,0.3411000,0.3416000,53621,18312.7782000,201,30301,10349.4741000,6981.0
22357390,7637284.42400000,0.3416000,0.3422000,0.3413000,0.3422000,43878,14998.1719000,161,30252,10342.5355000,16626.0
22364335,7649914.01460440,0.3421000,0.3424000,0.3420000,0.3423000,98097,33569.6372000,307,48398,16564.2800000,-1301.0
22360517,7654004.96910000,0.3423000,0.3425000,0.3416000,0.3424000,58599,20047.2456000,179,40893,13990.3048000,23187.0
22360935,7656384.14400000,0.3424000,0.3430000,0.3422000,0.3430000,78728,26961.4652000,214,49233,16863.2639000,19738.0
22358163,7664667.81461085,0.3430000,0.3431000,0.3418000,0.3421000,98810,33824.2902000,217,20250,6937.6380000,-58310.0
