sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
89631170,12159383.34474570,0.13590,0.13729,0.13544,0.13710,5963026,812827.78195,3250,3363960,458727.63786,764894.0
90341830,12385864.89300000,0.13696,0.13738,0.13645,0.13680,2251899,308397.37137,1532,939053,128638.80508,-373793.0
89982716,12302808.56013708,0.13677,0.13705,0.13651,0.13692,1194804,163425.44420,901,538066,73614.05193,-118672.0
89892457,12308075.21244000,0.13690,0.13709,0.13656,0.13701,841055,115100.00118,812,438555,60023.96715,36055.0
89857094,12305535.44922828,0.13701,0.13709,0.13650,0.13663,1483261,202871.80664,1016,581723,79572.50392,-319815.0
89858673,12277390.49199000,0.13662,0.13669,0.13602,0.13605,862785,117650.11739,785,316027,43112.30949,-230731.0
89877539,12220814.35250176,0.13604,0.13647,0.13586,0.13593,1416811,192925.17085,1290,731664,99648.50966,46517.0
89949020,12232177.12419220,0.13594,0.13598,0.13462,0.13521,6839778,924303.41451,3328,2867441,387572.78739,-1104896.0
91479041,12362842.60211359,0.13524,0.13598,0.13515,0.13580,1218273,165131.03273,1173,661765,89675.90736,105257.0
91556124,12433321.63920000,0.13584,0.13623,0.13577,0.13610,1333407,181348.50795,1106,663232,90200.46921,-6943.0
91759241,12488432.70010000,0.13608,0.13614,0.13562,0.13568,852729,115866.58859,864,406592,55251.80502,-39545.0
91656480,12438454.34486880,0.13565,0.13572,0.13521,0.13554,846032,114581.47225,770,231218,31323.64996,-383596.0
91573798,12418322.74678000,0.13550,0.13567,0.13453,0.13483,1473693,198821.75115,1367,631978,85251.61251,-209737.0
91367323,12308119.49152690,0.13483,0.13514,0.13465,0.13468,1416251,191064.15343,1236,740241,99878.99569,64231.0
91422324,12312758.59632000,0.13469,0.13484,0.13416,0.13416,2737097,367885.54133,1853,1204564,161921.98459,-327969.0
91459648,12275580.42347392,0.13417,0.13517,0.13383,0.13488,4065392,546480.62560,2860,2317177,311644.51860,568962.0
91734499,12382322.67502000,0.13488,0.13612,0.13484,0.13601,3711572,503648.86587,2331,2216585,300774.06907,721598.0
91511950,12445131.95058950,0.13602,0.13607,0.13503,0.13565,4332016,587207.70296,2500,1699731,230348.59143,-932554.0
91486420,12406016.89896420,0.13565,0.13606,0.13546,0.13597,1412192,191690.11925,1188,764696,103795.53281,117200.0
91517711,12443663.16467000,0.13597,0.13641,0.13587,0.13634,1109539,151039.36731,900,716685,97564.17274,323831.0
91595704,12488158.28336000,0.13633,0.13647,0.13619,0.13638,675587,92102.77042,734,339200,46244.18965,2813.0
91505756,12482300.17596000,0.13636,0.13653,0.13600,0.13626,1129398,153881.48607,1088,507853,69212.60097,-113692.0
91404900,12453337.20388500,0.13625,0.13659,0.13611,0.13621,1622808,221243.82229,1051,516586,70441.76284,-589636.0
91672493,12486710.27153000,0.13622,0.13631,0.13603,0.13628,474964,64657.20312,552,276489,37636.19803,78014.0
91548036,12473931.65852124,0.13627,0.13645,0.13612,0.13614,428189,58358.18475,587,208664,28442.34539,-10861.0
