sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
4302990,4796317.38248417,1.117,1.126,1.114,1.126,83846.6,93854.1628,582,51103,57203.6804,18358.59999999999
4305429,4846474.19622449,1.125,1.128,1.124,1.127,42984.8,48398.7938,353,18955,21344.9168,-5075.4000000000015
4306451,4848774.15076918,1.126,1.128,1.125,1.128,23263.8,26207.5341,201,10782,12148.6944,-1699.2000000000007
4304803,4850388.23217974,1.128,1.128,1.125,1.127,54076.1,60927.5535,345,27306,30775.4860,536.7000000000044
4308732,4855941.30210000,1.126,1.127,1.123,1.124,31659.8,35626.5319,264,12695,14283.9543,-6270.399999999998
4308337,4842315.82810103,1.125,1.126,1.122,1.123,26058.6,29288.1689,188,7462,8385.8869,-11134.4
4308463,4837532.37304561,1.122,1.123,1.119,1.120,41749.1,46778.9126,240,19834,22227.4984,-2082.0999999999985
4293075,4812918.27381262,1.120,1.120,1.110,1.113,119062.2,132493.5442,640,58038,64600.0969,-2987.199999999997
4291913,4776899.28030000,1.113,1.116,1.111,1.115,112693.7,125453.1237,459,38527,42923.3694,-35639.50000000001
4317898,4814456.38150000,1.116,1.120,1.116,1.120,22605.2,25262.4009,117,18446,20614.1955,14286.2
4317253,4835323.13600000,1.119,1.120,1.114,1.116,51391.9,57396.6742,277,15613,17427.9384,-20165.1
4316650,4816911.60107011,1.116,1.116,1.113,1.115,83477,93043.6733,318,25752,28703.9470,-31973.199999999997
4308894,4805804.92782182,1.115,1.116,1.105,1.110,129006.8,143103.0788,596,41425,45917.0608,-46156.60000000001
4332611,4801232.13643534,1.109,1.110,1.106,1.106,46677.8,51697.8941,298,26247,29072.5985,5815.799999999996
4325682,4782469.47723390,1.106,1.107,1.102,1.103,67962.8,75020.8882,350,29287,32333.7611,-9389.400000000005
4327040,4771869.97550171,1.102,1.109,1.101,1.108,103927.2,114872.3983,464,58572,64756.4774,13216.0
4312129,4772239.21424048,1.107,1.112,1.107,1.111,61067.8,67781.8605,297,41890,46486.2021,22711.199999999997
4310852,4789356.90530000,1.111,1.114,1.111,1.113,44431.1,49429.5999,241,26585,29578.4958,8739.099999999999
4313164,4798516.82187254,1.113,1.115,1.112,1.114,33708.2,37519.7583,222,16472,18338.8922,-763.7999999999956
4312892,4804561.24240000,1.114,1.116,1.112,1.116,32916.6,36675.1119,232,16825,18748.1279,733.4000000000015
4309480,4805386.92146225,1.116,1.118,1.116,1.118,32890.6,36718.1733,137,16938,18915.1738,986.0
4314476,4820974.15894897,1.117,1.118,1.116,1.117,21518.6,24035.1539,140,8752,9777.0049,-4013.5999999999985
4318618,4822924.00188647,1.117,1.118,1.116,1.118,15027.7,16782.8483,89,9028,10085.0605,3027.899999999998
4320945,4825700.82090210,1.117,1.118,1.111,1.114,100449,111885.3591,431,16727,18641.2031,-66995.79999999999
4377211,4873087.52267652,1.115,1.115,1.113,1.113,16713.9,18623.4122,111,7452,8305.2836,-1810.9000000000015
