sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
17322488,5344829.94059144,0.3093000,0.3120000,0.3078000,0.3119000,354979,109937.5047000,1118,199586,61858.1043000,44193.0
17315081,5400573.76390000,0.3118000,0.3130000,0.3114000,0.3124000,203554,63549.1717000,680,102080,31878.5110000,606.0
17349661,5417399.72387376,0.3124000,0.3131000,0.3117000,0.3129000,119987,37490.2956000,525,53179,16619.7987000,-13629.0
17354719,5430291.57510000,0.3130000,0.3142000,0.3125000,0.3130000,419845,131631.7921000,1066,244002,76510.4825000,68159.0
17318840,5420796.92000000,0.3130000,0.3134000,0.3117000,0.3132000,176355,55133.4767000,516,108018,33782.4952000,39681.0
17304629,5416820.60118654,0.3133000,0.3140000,0.3111000,0.3115000,365835,114192.0185000,857,150293,46938.9261000,-65249.0
17267177,5378725.63550000,0.3114000,0.3121000,0.3100000,0.3117000,337492,105041.8925000,898,115536,35983.7272000,-106420.0
17299989,5392406.57130000,0.3116000,0.3116000,0.3077000,0.3086000,666189,205769.5883000,1428,248065,76603.1652000,-170059.0
17173197,5296213.95480000,0.3086000,0.3098000,0.3078000,0.3098000,262144,81006.7724000,716,104024,32169.3824000,-54096.0
17144000,5309522.17312000,0.3098000,0.3115000,0.3098000,0.3111000,156831,48727.4024000,461,64145,19930.0752000,-28541.0
17146580,5334301.03800000,0.3111000,0.3112000,0.3092000,0.3099000,139759,43325.6053000,518,65775,20393.6645000,-8209.0
17148160,5312861.27973120,0.3098000,0.3099000,0.3089000,0.3096000,118023,36517.2445000,403,73668,22795.8882000,29313.0
17153236,5311064.69286740,0.3096000,0.3098000,0.3060000,0.3077000,419790,129118.3206000,965,161365,49673.0180000,-97060.0
17074219,5249748.13651503,0.3076000,0.3080000,0.3038000,0.3054000,624766,191008.7442000,1030,111479,34132.4659000,-401808.0
16919558,5162157.14580000,0.3055000,0.3066000,0.3047000,0.3047000,526427,160945.2679000,1291,226242,69172.1732000,-73943.0
17017473,5186925.77040000,0.3048000,0.3066000,0.3045000,0.3065000,251774,76959.9501000,728,133375,40765.7101000,14976.0
17050026,5225832.96900000,0.3065000,0.3077000,0.3065000,0.3073000,143113,43963.4906000,444,77325,23754.8423000,11537.0
17045669,5238134.08370000,0.3074000,0.3087000,0.3073000,0.3084000,258892,79762.7851000,761,178267,54943.1384000,97642.0
17092284,5269313.06168388,0.3084000,0.3094000,0.3079000,0.3090000,315544,97390.5113000,846,208553,64372.8910000,101562.0
17104300,5285228.70000000,0.3090000,0.3114000,0.3089000,0.3110000,652645,202517.0980000,730,319082,98959.4080000,-14481.0
17256465,5366760.61500000,0.3111000,0.3115000,0.3102000,0.3106000,143376,44551.0246000,323,73541,22848.9028000,3706.0
17297826,5372294.10521076,0.3106000,0.3111000,0.3101000,0.3109000,131778,40935.8541000,390,63936,19866.1594000,-3906.0
17280845,5371851.76119325,0.3108000,0.3108000,0.3096000,0.3099000,83200,25805.6942000,319,28996,8994.4984000,-25208.0
17261858,5347828.04264090,0.3099000,0.3104000,0.3094000,0.3103000,107590,33335.8179000,336,53204,16492.5535000,-1182.0
17281157,5361145.77854304,0.3103000,0.3103000,0.3087000,0.3090000,74830,23146.7131000,235,25775,7969.7134000,-23280.0
