sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
2413381,11362986.77878414,4.710000,4.721000,4.706000,4.710000,27603,130136.895000,744,13625,64243.001000,-353.0
2410786,11354802.06000000,4.709000,4.722000,4.706000,4.717000,17828,84066.625000,571,8551,40318.612000,-726.0
2413519,11384485.42216108,4.715000,4.722000,4.712000,4.717000,28502,134466.601000,757,10594,49985.820000,-7314.0
2421511,11422267.38700000,4.717000,4.726000,4.710000,4.717000,26785,126398.066000,641,15375,72575.713000,3965.0
2427954,11450599.14182640,4.718000,4.723000,4.694000,4.698000,30757,144754.421000,698,8907,41951.288000,-12943.0
2423104,11381319.48800000,4.699000,4.707000,4.690000,4.699000,33716,158427.423000,746,11355,53365.078000,-11006.0
2419214,11367886.58600000,4.700000,4.700000,4.648000,4.656000,98544,459926.554000,2318,46130,215336.781000,-6284.0
2414248,11238324.44000000,4.657000,4.699000,4.655000,4.696000,26415,123490.050000,736,14071,65810.501000,1727.0
2415568,11343507.32800000,4.696000,4.701000,4.693000,4.697000,15283,71802.208000,434,7118,33444.971000,-1047.0
2417386,11354462.04200000,4.697000,4.698000,4.678000,4.678000,17513,82125.649000,519,6310,29600.813000,-4893.0
2418282,11315141.47800000,4.677000,4.681000,4.666000,4.676000,30134,140848.399000,692,17072,79810.312000,4010.0
2424085,11333805.95105845,4.676000,4.685000,4.643000,4.658000,42140,196341.668000,1072,13565,63182.541000,-15010.0
2424452,11285248.27689452,4.657000,4.660000,4.641000,4.644000,24773,115221.205000,682,12268,57077.613000,-237.0
2428427,11277614.98800000,4.644000,4.651000,4.619000,4.622000,62077,287497.004000,1257,27490,127343.777000,-7097.0
2419559,11183593.98110067,4.621000,4.642000,4.610000,4.640000,56730,262426.111000,1274,26736,123752.580000,-3258.0
2420178,11226608.07904290,4.639000,4.662000,4.638000,4.656000,19442,90475.073000,640,11612,54039.051000,3782.0
2421150,11272874.40000000,4.656000,4.665000,4.655000,4.663000,9953,46392.615000,395,4814,22442.911000,-325.0
2422268,11290417.48472192,4.662000,4.671000,4.655000,4.665000,20584,95998.030000,551,13237,61753.118000,5890.0
2422649,11301657.58500000,4.666000,4.678000,4.660000,4.676000,11051,51601.341000,430,4532,21165.975000,-1987.0
2420929,11315778.55516738,4.676000,4.678000,4.660000,4.669000,18696,87234.587000,514,5495,25643.232000,-7706.0
2426822,11327201.82911596,4.668000,4.668000,4.658000,4.666000,9948,46398.888000,314,6430,29989.824000,2912.0
2428433,11328146.75454203,4.665000,4.677000,4.656000,4.677000,24346,113577.117000,531,16281,75961.631000,8216.0
2429763,11357276.40437334,4.677000,4.687000,4.672000,4.684000,15105,70684.460000,430,11002,51489.632000,6899.0
2427807,11371847.98800000,4.685000,4.691000,4.673000,4.678000,14766,69144.990000,407,7846,36749.558000,926.0
2429829,11364499.92975003,4.679000,4.679000,4.677000,4.677000,192,898.029000,14,10,46.790000,-172.0
