sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
37157272,11090381.13615720,0.2985000,0.3001000,0.2974000,0.2985000,856556,255937.0727000,1505,397009,118693.2057000,-62538.0
37199002,11096713.76185352,0.2985000,0.2996000,0.2980000,0.2992000,408654,122119.5020000,799,192180,57448.9791000,-24294.0
37237760,11137814.01600000,0.2992000,0.2997000,0.2981000,0.2983000,479515,143307.1431000,894,195158,58338.1102000,-89199.0
37278467,11120166.70610000,0.2983000,0.2984000,0.2965000,0.2968000,683690,203262.8635000,971,281736,83757.0616000,-120218.0
37290637,11063840.38511866,0.2968000,0.2971000,0.2947000,0.2951000,549793,162767.4166000,1018,192240,56941.1890000,-165313.0
37285160,10999122.20000000,0.2952000,0.2962000,0.2944000,0.2948000,622638,183884.8860000,1219,280347,82818.4793000,-61944.0
37399077,11025247.89960000,0.2949000,0.2949000,0.2915000,0.2928000,1642771,480814.7633000,2671,707637,207089.1934000,-227497.0
37409841,10950386.44306446,0.2928000,0.2953000,0.2925000,0.2947000,612606,180144.2060000,1053,368848,108507.1281000,125090.0
37472003,11042999.28410000,0.2947000,0.2963000,0.2946000,0.2954000,469759,138832.1388000,872,232281,68662.3871000,-5197.0
37474411,11069941.00940000,0.2953000,0.2954000,0.2936000,0.2936000,386498,113804.5049000,754,158053,46549.0451000,-70392.0
37539675,11035528.12403775,0.2936000,0.2939000,0.2924000,0.2929000,429368,125813.8224000,657,188403,55225.7856000,-52562.0
37516101,10993131.86038137,0.2929000,0.2935000,0.2895000,0.2909000,1055064,307115.1133000,1496,443281,129065.1942000,-168502.0
37569982,10921963.08032306,0.2909000,0.2912000,0.2899000,0.2900000,635014,184513.0421000,1003,269560,78350.7446000,-95894.0
37512530,10878633.70000000,0.2901000,0.2911000,0.2892000,0.2893000,751756,218193.2053000,1134,389566,113146.5020000,27376.0
37524210,10855753.95300000,0.2893000,0.2911000,0.2887000,0.2908000,645382,187210.2292000,1084,351787,102057.4928000,58192.0
37493502,10903110.38160000,0.2907000,0.2923000,0.2906000,0.2920000,396665,115662.4082000,676,239227,69766.8171000,81789.0
37485331,10941968.11890000,0.2920000,0.2929000,0.2918000,0.2927000,303492,88758.7621000,609,149694,43781.7717000,-4104.0
37551238,10991247.36260000,0.2928000,0.2931000,0.2921000,0.2925000,393024,114978.5389000,685,171146,50073.5110000,-50732.0
37612355,11001613.83750000,0.2925000,0.2941000,0.2921000,0.2935000,508652,149111.7622000,873,266772,78212.2174000,24892.0
37640349,11047442.43150000,0.2936000,0.2936000,0.2928000,0.2933000,246542,72279.7495000,418,112355,32938.0536000,-21832.0
37696588,11054024.95120900,0.2932000,0.2934000,0.2924000,0.2926000,249247,73003.0193000,447,100031,29305.6376000,-49185.0
37735141,11039495.49804892,0.2925000,0.2927000,0.2917000,0.2924000,270037,78929.6523000,489,138309,40420.1925000,6581.0
37749709,11041221.37188246,0.2924000,0.2926000,0.2916000,0.2924000,377312,110157.3157000,526,110771,32351.4357000,-155770.0
37895274,11071255.12229052,0.2924000,0.2926000,0.2912000,0.2916000,156574,45690.8849000,340,69448,20275.2467000,-17678.0
37885389,11047379.43240000,0.2916000,0.2916000,0.2913000,0.2915000,16309,4753.9145000,31,5335,1554.7695000,-5639.0
