sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
383560746,3600143.35363806,0.009393,0.009452,0.009361,0.009450,7867079,73995.927714,691,3370929,31700.163077,-1125221.0
383243014,3620121.17510428,0.009448,0.009473,0.009445,0.009473,4628573,43792.994773,412,1802030,17048.051436,-1024513.0
383110682,3626889.67095990,0.009470,0.009513,0.009465,0.009508,4116017,39066.309131,379,1976320,18756.833935,-163377.0
383825869,3649416.36245200,0.009508,0.009511,0.009494,0.009509,1889106,17951.367375,224,844501,8024.355161,-200104.0
384074790,3650573.26773150,0.009507,0.009508,0.009466,0.009467,2548362,24172.583864,334,1241327,11770.393082,-65708.0
383742531,3632890.54097700,0.009468,0.009475,0.009437,0.009437,3630847,34327.310210,387,1854910,17536.415708,78973.0
382573548,3610591.41954672,0.009438,0.009468,0.009434,0.009448,2668933,25222.831507,336,1410454,13325.971157,151975.0
382544157,3614277.19533600,0.009449,0.009449,0.009362,0.009390,11487590,107870.736596,991,6475379,60798.980415,1463168.0
382922795,3596767.00883935,0.009391,0.009433,0.009382,0.009428,3730307,35092.091080,365,1557557,14644.440667,-615193.0
382505400,3606260.91120000,0.009429,0.009445,0.009413,0.009444,5031813,47462.283173,407,1999873,18866.927873,-1032067.0
382520141,3610542.58247503,0.009444,0.009447,0.009413,0.009415,3248977,30643.387720,264,1187635,11195.602369,-873707.0
382300668,3599360.78922000,0.009415,0.009416,0.009400,0.009404,2584139,24309.927226,205,1461103,13744.839955,338067.0
382961805,3602521.69963500,0.009404,0.009422,0.009338,0.009356,9551517,89453.466873,962,4531868,42428.839045,-487781.0
383127990,3583491.87246750,0.009356,0.009364,0.009340,0.009342,2664717,24918.644432,390,1483042,13869.253478,301367.0
383093881,3578863.03630200,0.009341,0.009348,0.009326,0.009333,2313395,21597.343370,584,835639,7800.929245,-642117.0
383218225,3576575.69392500,0.009334,0.009357,0.009313,0.009354,3667893,34230.025914,802,1873838,17490.263723,79783.0
382635617,3579173.56141800,0.009354,0.009388,0.009354,0.009379,1974702,18514.963405,236,1169538,10965.965490,364374.0
382438217,3586888.03724300,0.009379,0.009410,0.009379,0.009401,2194275,20616.520252,198,1071565,10067.747187,-51145.0
382434814,3595269.68641400,0.009404,0.009415,0.009399,0.009413,1373970,12923.963230,211,779876,7336.625135,185782.0
382508795,3600157.47818820,0.009412,0.009426,0.009408,0.009424,1435112,13512.998061,364,564431,5315.543137,-306250.0
382501765,3604696.63336000,0.009424,0.009451,0.009421,0.009450,2587384,24416.160362,416,939544,8867.931083,-708296.0
382865138,3615962.13853824,0.009451,0.009456,0.009437,0.009450,2070109,19561.160712,318,1043171,9857.832241,16233.0
383067091,3619984.00995000,0.009450,0.009456,0.009431,0.009445,1048716,9906.875450,165,345677,3264.412011,-357362.0
383095435,3618336.38357500,0.009445,0.009447,0.009435,0.009447,1497227,14132.448077,141,846564,7989.553654,195901.0
383461149,3619478.28157653,0.009445,0.009445,0.009424,0.009428,642780,6064.104955,154,226211,2133.735780,-190358.0
