sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
213798,5641916.54356299,26.380,26.490,26.380,26.430,2447.4,64662.2670,598,1264,33410.0720,81.59999999999991
214216,5661718.30800000,26.420,26.590,26.390,26.580,3918.5,103811.1300,727,2314,61318.3650,710.5
214286,5694876.04049929,26.580,26.580,26.510,26.570,1387.6,36854.7390,312,536,14243.5780,-315.0
214222,5691873.22600000,26.580,26.620,26.550,26.600,2308.5,61388.1580,459,1665,44269.3120,1020.6999999999998
214813,5714023.14000000,26.600,26.610,26.360,26.370,3164.3,83769.6930,661,1098,29048.2210,-969.1000000000004
214154,5648869.87571062,26.380,26.450,26.320,26.320,2362.8,62319.5860,686,1161,30642.3430,-40.0
214176,5643462.81374527,26.320,26.320,26.070,26.160,8298.1,217345.8140,1811,3864,101246.7880,-569.5
213896,5593756.35061592,26.160,26.330,26.140,26.330,2369,62173.9630,495,1365,35836.6610,361.1999999999998
213924,5630506.77216629,26.330,26.410,26.310,26.370,2572.4,67813.6800,524,1081,28509.3620,-410.0
213851,5639248.23300000,26.360,26.360,26.260,26.280,1107.7,29139.3230,366,380,9986.8690,-348.5
213952,5622669.07200000,26.280,26.290,26.190,26.190,2121.8,55633.5660,443,594,15583.2880,-933.2000000000003
213680,5602270.88116842,26.190,26.210,25.970,26.030,5979.3,155861.5640,1308,2370,61838.0120,-1239.6999999999998
213206,5547819.59748944,26.040,26.080,25.980,26,3100.4,80724.4680,705,1341,34917.9740,-419.0
213876,5560768.20000000,26.010,26.060,25.950,25.970,2896,75265.6330,633,1170,30404.9370,-556.8000000000002
213828,5553110.56300000,25.970,26.040,25.940,26.020,4705.2,122314.2930,906,2290,59548.2090,-124.39999999999964
213706,5557202.34455069,26.010,26.080,26,26.080,2728.4,71043.8000,537,1282,33386.2620,-164.4000000000001
214386,5590996.20231856,26.080,26.130,26.070,26.110,1623.8,42378.8190,486,718,18754.8780,-186.79999999999995
214483,5599061.66406451,26.120,26.210,26.110,26.190,2383.6,62369.8730,568,1511,39542.6940,638.4000000000001
214727,5623702.74900000,26.200,26.270,26.170,26.220,2094.1,54929.1090,435,1374,36053.2500,654.0999999999999
214455,5623015.34400000,26.230,26.260,26.180,26.240,1032.6,27061.1730,257,413,10834.5740,-205.79999999999995
214209,5620854.65600000,26.240,26.240,26.160,26.170,1364.9,35758.0660,364,525,13755.0600,-315.10000000000014
214085,5604801.57414861,26.170,26.230,26.130,26.210,2097.6,54931.4620,492,1134,29696.9870,170.20000000000027
214249,5613741.77000369,26.220,26.250,26.200,26.240,979,25667.7930,276,455,11941.7390,-68.20000000000005
214211,5617305.16842006,26.230,26.290,26.220,26.280,1891.6,49674.3990,407,1125,29556.9000,359.0
214386,5631866.19108664,26.280,26.290,26.280,26.280,28.5,749.0410,17,8,212.9290,-12.299999999999999
