sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
9231010,136563559.27708000,14.793,14.828,14.761,14.796,189296.18,2800376.64083,7163,94524,1398326.40227,-249.13999999998487
9235689,136628454.32877234,14.795,14.850,14.784,14.839,117588.49,1743303.44408,5695,66348,983703.23752,15108.289999999994
9245959,137154559.95952000,14.837,14.847,14.789,14.839,105191.70,1559415.01372,4575,42276,626891.54042,-20639.259999999995
9245612,137163522.30763534,14.839,14.854,14.763,14.781,97008.40,1435951.08968,4351,42141,623769.26240,-12726.0
9240885,136567782.81298617,14.780,14.793,14.709,14.720,129845.90,1914529.33871,5557,52841,779273.30821,-24163.51999999999
9237394,135919012.96176000,14.721,14.760,14.709,14.724,108984.57,1606012.14862,4649,57547,848083.96890,6109.469999999987
9239879,136038737.63362000,14.724,14.727,14.584,14.678,521076.25,7631535.67203,14858,258437,3785814.99436,-4202.869999999995
9189244,134829701.37463352,14.678,14.797,14.672,14.794,192692.53,2840994.14931,7051,102420,1510234.07376,12146.589999999997
9214286,136297711.41184000,14.794,14.820,14.766,14.803,126252.80,1868094.78777,5390,67616,1000600.13605,8979.779999999984
9221538,136515653.28928000,14.802,14.804,14.751,14.781,92114.10,1361410.86469,3973,40371,596668.52953,-11371.320000000007
9219296,136298077.82976000,14.782,14.809,14.752,14.795,77068.31,1139252.98857,3487,36598,540952.93065,-3872.6300000000047
9214714,136377763.50000000,14.795,14.815,14.658,14.705,179360.71,2638862.98360,6553,63862,940054.97261,-51637.59
9225548,135594310.51873112,14.705,14.747,14.681,14.688,128585.81,1891428.63856,5236,62079,913143.52488,-4427.57
9214418,135350586.44267000,14.690,14.703,14.651,14.654,109224.59,1602360.55271,4272,46643,684338.90694,-15939.349999999991
9197484,134807522.40172000,14.655,14.715,14.647,14.705,144857.01,2126598.90998,5511,66650,978543.46934,-11556.190000000002
9194157,135246056.67790000,14.706,14.782,14.706,14.766,90802.28,1339273.70493,4525,47062,694209.34743,3321.279999999999
9189396,135672249.48308000,14.765,14.775,14.730,14.746,91927.39,1356623.01826,3311,40892,603530.40108,-10142.509999999995
9197209,135612849.80145000,14.747,14.773,14.712,14.768,89487.51,1319074.40332,3527,45769,674659.02211,2050.25
9200831,135848059.92563388,14.768,14.809,14.747,14.803,73362.89,1084653.91828,3229,44847,663169.30523,16331.289999999994
9194776,136110271.05239000,14.804,14.810,14.776,14.805,61074.41,903670.85102,2617,24517,362772.33200,-12040.690000000002
9184455,135974898.01419294,14.805,14.810,14.779,14.787,56782.32,840264.49380,2334,27288,403826.10445,-2206.1800000000003
9182337,135779217.66261000,14.787,14.788,14.735,14.779,85869.31,1267050.04104,3266,36659,540862.04826,-12550.349999999991
9179195,135638033.21088105,14.779,14.810,14.764,14.806,83621.31,1236533.87336,2429,45464,672293.54350,7306.389999999999
9194315,136085753.32249433,14.806,14.816,14.753,14.765,67565.94,999173.69711,2485,33571,496487.01545,-424.41999999999825
9200955,135852107.66220000,14.765,14.769,14.755,14.755,3914.02,57782.21264,145,1503,22193.36344,-908.2599999999998
