sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
16685938,12704768.30304660,0.7620000,0.7676000,0.7601000,0.7666000,437728,334315.1415000,3012,229721,175481.8884000,21714.0
16685913,12791420.90580000,0.7664000,0.7695000,0.7650000,0.7671000,353986,271562.7318000,2213,164485,126221.2189000,-25016.0
16689755,12796368.45290735,0.7669000,0.7673000,0.7647000,0.7656000,179848,137709.5257000,1160,63390,48544.7085000,-53068.0
16696524,12782858.77440000,0.7656000,0.7676000,0.7640000,0.7652000,246286,188591.9107000,1480,104214,79820.3164000,-37858.0
16692637,12773205.83240000,0.7653000,0.7667000,0.7618000,0.7620000,220504,168330.9680000,1589,99586,76032.3484000,-21332.0
16660387,12695214.89400000,0.7622000,0.7628000,0.7565000,0.7573000,398748,302754.7693000,2101,153318,116418.1640000,-92112.0
16646643,12602125.50912315,0.7573000,0.7596000,0.7533000,0.7571000,735509,556496.4406000,3522,321574,243497.2160000,-92361.0
16528454,12510502.69706254,0.7570000,0.7575000,0.7499000,0.7531000,897763,675339.9967000,4177,358553,269819.6863000,-180657.0
16458758,12387011.04549780,0.7533000,0.7589000,0.7521000,0.7585000,381677,288591.4520000,2295,212650,160819.0483000,43623.0
16468300,12488487.78645100,0.7586000,0.7627000,0.7575000,0.7620000,390615,297184.2649000,2277,191829,145952.0257000,-6957.0
16465059,12546374.95800000,0.7618000,0.7623000,0.7595000,0.7596000,237990,181057.5696000,1264,107197,81544.9855000,-23596.0
16475515,12514801.19400000,0.7595000,0.7613000,0.7579000,0.7603000,255472,194011.1927000,1230,129020,97977.5677000,2568.0
16489760,12540224.69766080,0.7605000,0.7615000,0.7529000,0.7546000,428680,324416.7364000,2057,155398,117553.4794000,-117884.0
16510747,12449001.69690595,0.7546000,0.7566000,0.7533000,0.7542000,273121,206209.9354000,1590,107554,81215.3283000,-58013.0
16531821,12468299.39820000,0.7541000,0.7550000,0.7449000,0.7514000,1624137,1217750.8553000,4668,643512,482767.4018000,-337113.0
16317390,12262518.58500000,0.7514000,0.7566000,0.7507000,0.7551000,387214,291720.6796000,1975,199658,150436.2537000,12102.0
16351789,12352141.41060000,0.7552000,0.7566000,0.7551000,0.7561000,283437,214247.6588000,1337,145875,110274.9883000,8313.0
16403431,12399889.55702508,0.7561000,0.7577000,0.7547000,0.7555000,242576,183407.3851000,1300,119028,90011.5747000,-4520.0
16457079,12431677.47660000,0.7555000,0.7640000,0.7554000,0.7574000,786522,596800.4678000,3164,380027,288513.6442000,-26468.0
16557569,12540702.76060000,0.7576000,0.7616000,0.7571000,0.7603000,328111,249417.5783000,1357,162662,123664.1221000,-2787.0
16544271,12578609.24130000,0.7602000,0.7617000,0.7600000,0.7601000,137260,104436.6452000,719,73580,55991.6088000,9900.0
16554649,12584844.16980000,0.7600000,0.7608000,0.7576000,0.7594000,264763,201093.6765000,1172,139335,105831.8300000,13907.0
16516659,12542750.84460000,0.7593000,0.7631000,0.7585000,0.7625000,244553,186134.6383000,1024,146574,111571.2702000,48595.0
16534626,12603200.54229576,0.7625000,0.7630000,0.7617000,0.7621000,78751,60027.9822000,583,30264,23069.3166000,-18223.0
16531286,12596839.93200000,0.7621000,0.7632000,0.7604000,0.7615000,235605,179453.3953000,1050,109276,83235.6567000,-17053.0
