sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
10778760,7278896.49294000,0.675300,0.679200,0.675300,0.678300,196563,133189.7828400,1032,90917,61605.9057000,-14729.399999999994
10821704,7338751.81048080,0.678200,0.680200,0.677300,0.679700,133864.3,90899.3780800,665,64637,43897.9059300,-4589.899999999994
10835550,7364923.26703000,0.679700,0.680700,0.678700,0.679000,140157.3,95292.6797700,591,57943,39395.9565100,-24272.099999999984
10849394,7366738.39020000,0.679000,0.679500,0.675800,0.677700,109662.5,74294.4109500,555,45332,30726.4922200,-18997.5
10831440,7333506.00896373,0.677900,0.678400,0.674000,0.674300,71444.4,48274.8999600,465,27710,18727.4798300,-16023.799999999992
10833142,7303704.60608000,0.674400,0.674800,0.673000,0.673000,153290.3,103285.6915100,849,75679,50996.1385700,-1932.5
10835412,7292232.61250000,0.673000,0.673100,0.665900,0.668200,385538.5,257761.8027000,1964,166768,111515.6165900,-52003.09999999998
10814580,7223129.29143734,0.668200,0.673700,0.668100,0.673500,139468.7,93617.7473500,772,88933,59695.4960600,38396.5
10813796,7282010.02438000,0.673400,0.675300,0.673000,0.675000,146682.4,98897.7313800,780,91744,61852.5017200,36804.80000000002
10842862,7318931.58000000,0.675000,0.675300,0.672400,0.673000,80376.3,54142.1252800,504,28556,19233.9961700,-23263.900000000005
10844456,7298318.95530000,0.673000,0.673000,0.671000,0.671100,88288.4,59303.7313900,526,35220,23663.4046800,-17848.199999999997
10836668,7274655.16127000,0.671100,0.672100,0.665900,0.667600,164683.3,110017.1474100,914,68660,45867.7912000,-27363.899999999994
10849785,7238946.55671020,0.667600,0.668600,0.665800,0.666000,112051.6,74785.1167800,800,44825,29921.4148800,-22402.20000000001
10842215,7220914.92360000,0.666100,0.667000,0.663200,0.663600,218737.3,145362.0645300,1185,80312,53385.8983800,-58112.7
10821851,7180301.45140533,0.663500,0.667600,0.662700,0.667200,164240.9,109268.1308100,888,83575,55624.7902800,2908.899999999994
10831928,7226618.69445079,0.667300,0.670900,0.667100,0.670400,123800.9,82893.5522200,760,62728,42000.9817100,1656.1000000000058
10824793,7256941.49536000,0.670500,0.670600,0.668800,0.668800,135260.3,90573.8465600,764,38476,25771.5495300,-58308.69999999998
10846359,7254044.96608000,0.669200,0.670500,0.668300,0.668900,184428.9,123388.7443700,974,59049,39509.8610200,-66330.69999999998
10913419,7298369.55799572,0.669000,0.670600,0.668100,0.670200,145148.5,97170.3206300,742,59182,39621.6037400,-26784.5
10939966,7331965.48128000,0.670200,0.670300,0.668900,0.669400,65263.9,43695.3916800,403,34637,23189.6301000,4009.9000000000015
10957767,7335128.96204000,0.669300,0.669600,0.668100,0.668300,92781.5,62052.2193400,476,35990,24072.4604700,-20802.5
10985391,7341537.07262000,0.668300,0.668500,0.666800,0.668000,65123.6,43472.8951900,374,29266,19534.6286900,-6592.4000000000015
10986290,7338841.58640000,0.667900,0.668200,0.667200,0.667900,42868.4,28626.2141700,291,20012,13362.4834500,-2845.4000000000015
10994157,7342997.39351000,0.668000,0.668300,0.665500,0.666300,75806.1,50527.8043200,457,25606,17060.9284000,-24594.90000000001
11012369,7334259.93501511,0.666300,0.666400,0.665100,0.665600,42926.2,28573.8643100,153,7467,4972.9277500,-27992.399999999994
