sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
17857045,11215158.18345350,0.6293000,0.6352000,0.6264000,0.6338000,1039763,656286.2628000,2531,607373,383590.9813000,174983.0
17920042,11357722.61960000,0.6337000,0.6353000,0.6324000,0.6333000,523427,331711.5868000,1460,243073,154094.5735000,-37281.0
17885350,11320784.82364200,0.6332000,0.6342000,0.6323000,0.6337000,216714,137290.8934000,816,103098,65318.4302000,-10518.0
17905326,11346605.08620000,0.6337000,0.6354000,0.6329000,0.6352000,216653,137451.8532000,773,140871,89383.4816000,65089.0
17944088,11396154.81093560,0.6351000,0.6355000,0.6326000,0.6335000,388290,246130.9256000,1234,172878,109606.5238000,-42534.0
17886652,11331194.04200000,0.6336000,0.6340000,0.6298000,0.6303000,335016,211500.8241000,1046,88976,56231.9663000,-157064.0
17805297,11213776.05060000,0.6303000,0.6316000,0.6296000,0.6304000,274190,172972.2719000,987,154755,97639.1052000,35320.0
17837077,11246277.04850000,0.6305000,0.6305000,0.6229000,0.6257000,1304396,815286.7553000,3137,507544,317344.2532000,-289308.0
17764309,11113319.20171453,0.6257000,0.6287000,0.6255000,0.6287000,528561,331576.4116000,1225,280501,175932.1351000,32441.0
17813633,11199431.06710000,0.6287000,0.6310000,0.6284000,0.6308000,314221,197853.2273000,988,189124,119105.7445000,64027.0
17830433,11247437.13640000,0.6308000,0.6313000,0.6288000,0.6289000,348169,219274.3245000,785,165787,104407.3157000,-16595.0
17846844,11225664.87600000,0.6290000,0.6291000,0.6268000,0.6274000,409948,257315.8359000,884,128308,80567.3707000,-153332.0
17766894,11150362.31593740,0.6274000,0.6284000,0.6231000,0.6248000,439647,275000.4591000,1021,216941,135717.2286000,-5765.0
17731082,11073367.45671860,0.6248000,0.6258000,0.6231000,0.6238000,381628,238349.4927000,909,189143,118161.4443000,-3342.0
17671937,11023754.30060000,0.6239000,0.6246000,0.6226000,0.6233000,389262,242733.9490000,941,172675,107684.9291000,-43912.0
17662595,11009727.07789720,0.6233000,0.6256000,0.6223000,0.6253000,382966,239034.9763000,1001,218869,136616.5121000,54772.0
17678908,11054259.99230956,0.6253000,0.6271000,0.6250000,0.6263000,227401,142408.2392000,601,119157,74628.8187000,10913.0
17671058,11067383.62540000,0.6264000,0.6277000,0.6264000,0.6276000,125641,78803.4119000,439,68866,43195.2793000,12091.0
17689222,11096819.01912424,0.6276000,0.6293000,0.6274000,0.6290000,178410,112092.9002000,667,113516,71315.2875000,48622.0
17679399,11120341.97100000,0.6291000,0.6318000,0.6289000,0.6311000,365891,230669.5783000,964,219333,138302.1876000,72775.0
17669336,11151117.94960000,0.6311000,0.6316000,0.6303000,0.6313000,119529,75406.7196000,496,60777,38345.3225000,2025.0
17688173,11164660.70888415,0.6311000,0.6314000,0.6301000,0.6306000,133110,83971.0491000,458,58062,36631.3244000,-16986.0
17654514,11132936.52840000,0.6305000,0.6315000,0.6291000,0.6314000,173391,109263.3813000,468,78140,49246.9638000,-17111.0
17606067,11118447.16088142,0.6313000,0.6329000,0.6309000,0.6326000,154181,97416.5368000,413,90653,57287.5731000,27125.0
17633202,11142677.61221718,0.6327000,0.6333000,0.6324000,0.6327000,196699,124493.0680000,647,100905,63867.4797000,5111.0
