sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
19457864,35278904.17116176,1.8160,1.8350,1.8060,1.8310,1043446,1901746.6160,4262,520992,950139.9650,-1462.0
19419461,35557033.09100000,1.8310,1.8420,1.8290,1.8390,788467,1447269.4810,3543,365412,670753.3370,-57643.0
19376653,35620505.60064811,1.8390,1.8410,1.8290,1.8300,547719,1005204.5250,2453,278137,510520.5820,8555.0
19431660,35559937.80000000,1.8290,1.8320,1.8220,1.8240,437626,799811.4010,1890,247013,451566.9290,56400.0
19476834,35525745.21600000,1.8250,1.8250,1.8160,1.8190,386186,702739.7030,1851,211177,384318.4800,36168.0
19483203,35439946.25700000,1.8200,1.8250,1.8040,1.8060,630580,1142772.9210,2512,209122,379195.1460,-212336.0
19411464,35057103.98400000,1.8060,1.8130,1.8010,1.8040,1054699,1905509.6310,3664,531278,960050.8800,7857.0
19400581,34998096.95349379,1.8040,1.8060,1.7840,1.7930,2042344,3660677.1800,7008,859436,1540340.9000,-323472.0
19318926,34628880.62775702,1.7940,1.8100,1.7930,1.8080,644280,1161290.9490,2497,348247,627573.0840,52214.0
19325606,34930720.73646310,1.8080,1.8140,1.8050,1.8100,495050,895554.4110,1767,250333,453012.1440,5616.0
19351179,35011528.52860332,1.8100,1.8100,1.8010,1.8010,366784,661768.1140,1516,155719,281002.4960,-55346.0
19361247,34869605.84700000,1.8020,1.8030,1.7960,1.7990,286730,515996.3030,1112,118969,214118.4940,-48792.0
19354134,34853944.47006180,1.8000,1.8030,1.7850,1.7910,696903,1249015.3960,2136,292007,523413.9680,-112889.0
19333227,34613571.43097673,1.7900,1.7950,1.7830,1.7880,744753,1332262.8710,2212,307373,549819.1560,-130007.0
19420074,34703672.23800000,1.7870,1.7900,1.7780,1.7870,1238797,2209916.5360,3047,570463,1017771.7690,-97871.0
19165075,34247989.02500000,1.7860,1.7970,1.7840,1.7930,649916,1164053.2100,2299,354374,634802.7200,58832.0
19168729,34407868.55500000,1.7940,1.8020,1.7940,1.7970,288473,518724.5600,1169,169218,304297.0090,49963.0
19177013,34461092.36100000,1.7980,1.8010,1.7960,1.7990,347517,625003.2760,1033,155012,278786.9660,-37493.0
19241063,34595431.27400000,1.7990,1.8000,1.7900,1.7910,601384,1079204.3310,1903,254496,456754.3800,-92392.0
19387906,34709203.56347650,1.7910,1.7930,1.7850,1.7850,540756,967614.2160,2129,282108,504909.2750,23460.0
19540701,34880151.28500000,1.7850,1.7910,1.7840,1.7900,223198,398924.7270,882,148920,266187.2620,74642.0
19523454,34946982.66000000,1.7910,1.7910,1.7840,1.7840,209832,375036.7870,820,86396,154411.4920,-37040.0
19502044,34791646.49600000,1.7840,1.7880,1.7780,1.7860,389942,695075.6560,1302,167733,299041.5950,-54476.0
19467600,34769133.60000000,1.7860,1.7890,1.7810,1.7840,280120,500111.5870,1007,164904,294476.2970,49688.0
19463967,34723717.12800000,1.7840,1.7860,1.7810,1.7820,193963,345992.6020,836,124996,222984.9220,56029.0
