sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
8900115,6269098.40759495,0.7043,0.7127,0.7004,0.7119,411965.8,290649.76142,1923,221844,156629.52408,31722.79999999999
8845970,6296561.16128000,0.7117,0.7135,0.7103,0.7114,240201.8,171019.52141,1089,101112,71989.87615,-37978.39999999998
8848085,6293034.87217196,0.7111,0.7152,0.7105,0.7133,164411.5,117268.41121,809,97866,69836.46558,31320.899999999994
8849986,6312694.94247000,0.7132,0.7146,0.7114,0.7123,110811.5,78954.21021,566,58145,41435.90484,5478.300000000003
8834724,6289724.40794268,0.7123,0.7126,0.7087,0.7112,90958.3,64642.53170,508,31692,22519.16622,-27575.300000000003
8824233,6271826.55348732,0.7113,0.7114,0.7079,0.7081,99480.8,70635.42379,504,43733,31062.83646,-12014.0
8828525,6250595.70000000,0.7082,0.7099,0.7066,0.7071,122567.9,86813.45539,785,57635,40802.98858,-7298.699999999997
8823375,6244009.65715082,0.7071,0.7075,0.7009,0.7050,527145.1,371129.69783,2062,257621,181451.63545,-11903.099999999977
8795550,6200602.01498107,0.7050,0.7110,0.7046,0.7101,224605.8,159121.61479,987,85089,60246.91464,-54427.59999999998
8787794,6243429.58869018,0.7103,0.7126,0.7090,0.7111,107721.3,76588.79975,653,60602,43099.99974,13483.099999999991
8810647,6264805.93071165,0.7110,0.7115,0.7079,0.7090,70114.4,49732.48644,512,29123,20656.68883,-11868.199999999997
8809242,6246633.57311000,0.7087,0.7095,0.7074,0.7084,65832.8,46651.50311,406,38698,27426.21891,11562.800000000003
8818760,6248495.27254288,0.7085,0.7100,0.7021,0.7046,222971.9,157106.84096,960,102940,72537.66054,-17091.5
8798430,6195730.87588700,0.7046,0.7050,0.7008,0.7010,181279.4,127409.25810,906,64644,45436.27907,-51991.19999999999
8837888,6197742.18548550,0.7013,0.7025,0.6980,0.7000,277138.2,194009.60590,1104,93347,65393.09865,-90444.8
8834664,6186031.66278000,0.7000,0.7032,0.6986,0.7018,192265.2,134817.11250,1146,107060,75077.36692,21855.79999999999
8845034,6206727.74240017,0.7018,0.7045,0.7014,0.7045,150844.2,106054.52817,714,70423,49528.30982,-9998.600000000006
8899199,6266700.92487677,0.7044,0.7047,0.7010,0.7016,142134,99868.10108,654,26612,18717.56456,-88909.0
8957686,6284712.35728000,0.7017,0.7052,0.7014,0.7040,154365.5,108570.96692,815,94578,66525.64440,34789.5
8970156,6314989.47200000,0.7040,0.7064,0.7031,0.7057,75006.1,52846.25835,436,49734,35041.74600,24462.699999999997
8978361,6335934.49485356,0.7058,0.7061,0.7045,0.7054,51383.9,36244.38672,308,20541,14490.15265,-10302.5
8984063,6337358.11074000,0.7054,0.7054,0.7034,0.7037,57603.5,40565.83115,363,24784,17453.81332,-8035.300000000003
8985993,6320550.43289563,0.7035,0.7047,0.7020,0.7043,52574.1,36988.01482,330,27521,19363.08571,2467.5
8987690,6326646.10429223,0.7042,0.7043,0.7026,0.7034,50725,35673.12429,280,15245,10726.41108,-20234.800000000003
8972857,6311507.47312000,0.7034,0.7034,0.7008,0.7009,76262.4,53528.57362,385,31974,22439.79598,-12313.999999999996
