sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
31704727,2411738.95198125,0.0761300,0.0763500,0.0761300,0.0762700,224634,17126.1490100,289,99764,7604.4868500,-25106.0
31685619,2416662.16113000,0.0762400,0.0765100,0.0762100,0.0764700,180109,13746.1166900,228,66316,5064.7918400,-47477.0
31723515,2425897.19205000,0.0764800,0.0765300,0.0763700,0.0764600,203000,15522.4574000,227,113043,8644.5392900,23086.0
31687790,2422848.42340000,0.0764800,0.0764900,0.0762700,0.0763400,381578,29154.2522000,200,160107,12239.0162200,-61364.0
31851027,2431429.36616385,0.0763700,0.0764000,0.0760400,0.0760800,325782,24829.5615800,264,93675,7142.8244000,-138432.0
31881516,2425665.29296500,0.0760900,0.0762900,0.0759900,0.0759900,280625,21352.6781100,360,169774,12919.7828200,58923.0
31787194,2415508.87206000,0.0759900,0.0759900,0.0751100,0.0754000,1140397,86086.9663500,940,510018,38488.8239800,-120361.0
31663695,2387290.61726400,0.0754100,0.0757600,0.0752400,0.0757500,491014,37026.0319400,462,151646,11447.7292600,-187722.0
31674655,2398088.13005000,0.0757500,0.0759700,0.0757300,0.0758700,210602,15977.3579700,240,76606,5812.4608400,-57390.0
31686301,2404673.38289000,0.0758700,0.0759700,0.0757600,0.0758100,250360,18996.5955800,287,87756,6658.8660200,-74848.0
31747660,2406790.10460000,0.0757900,0.0758300,0.0755300,0.0758000,341191,25833.9306600,221,97820,7406.9980900,-145551.0
31904124,2417601.03763668,0.0757900,0.0758400,0.0752600,0.0753900,399939,30209.1851700,406,288093,21755.5023200,176247.0
31739783,2392862.24037000,0.0754000,0.0755400,0.0751500,0.0753000,345341,26019.3231500,545,123957,9345.8845600,-97427.0
31712324,2386669.50424000,0.0753200,0.0754100,0.0749700,0.0750800,889655,66844.0978500,519,324047,24350.1954800,-241561.0
31516771,2366279.16668000,0.0750700,0.0752800,0.0749500,0.0752800,345881,25992.4669900,329,220143,16542.8870000,94405.0
31479581,2367970.89299764,0.0752600,0.0755800,0.0752500,0.0755500,292014,22019.4459600,235,193193,14569.0306000,94372.0
31530856,2381416.77222680,0.0755300,0.0756700,0.0754900,0.0756700,92135,6963.9895500,132,51488,3893.1092500,10841.0
31522466,2383968.13443694,0.0756400,0.0757900,0.0755700,0.0757600,111960,8469.9871900,235,41376,3130.8880900,-29208.0
31561271,2390029.32257215,0.0757600,0.0759600,0.0756500,0.0759300,238443,18083.8386300,278,102653,7789.1527300,-33137.0
31628052,2401517.98836000,0.0759300,0.0760400,0.0758900,0.0760400,166873,12674.9938300,141,100033,7599.1668800,33193.0
31621712,2404514.98048000,0.0760400,0.0761100,0.0759800,0.0760700,219739,16706.9874900,176,102130,7764.9442400,-15479.0
31655939,2407317.35053509,0.0760800,0.0761800,0.0759400,0.0761000,393966,29964.7523900,224,195607,14880.8183300,-2752.0
31725731,2413748.81725194,0.0761100,0.0761400,0.0756500,0.0758800,1180640,89523.6746000,493,238564,18082.8147300,-703512.0
32179203,2441114.98316406,0.0758800,0.0759000,0.0755900,0.0757200,505744,38302.3053600,268,101813,7713.6891600,-302118.0
32397621,2453147.86212000,0.0757200,0.0757200,0.0756500,0.0756700,32185,2435.8725000,56,5149,389.7055800,-21887.0
