sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
4312395,4648002.52661235,1.0780000,1.0797000,1.0765000,1.0793000,61784,66633.6107000,543,33173,35782.8953000,4562.0
4325376,4665550.42922496,1.0789000,1.0811000,1.0779000,1.0811000,20603,22256.1786000,234,10352,11183.8966000,101.0
4319181,4669466.57910000,1.0811000,1.0826000,1.0797000,1.0821000,21018,22728.9166000,199,12601,13627.8464000,4184.0
4314303,4666296.28229856,1.0821000,1.0824000,1.0773000,1.0789000,63763,68816.8522000,571,14555,15713.1137000,-34653.0
4291158,4632729.45652620,1.0789000,1.0792000,1.0748000,1.0749000,30022,32339.4244000,358,11027,11879.2800000,-7968.0
4286375,4611610.30414250,1.0749000,1.0768000,1.0728000,1.0747000,54946,59045.3828000,431,29750,31943.3234000,4554.0
4291590,4617079.12033320,1.0748000,1.0748000,1.0608000,1.0692000,188011,200711.6664000,1304,65750,70260.1176000,-56511.0
4246517,4539242.28375651,1.0694000,1.0742000,1.0683000,1.0732000,107548,115209.2861000,681,43373,46500.3179000,-20802.0
4261163,4573080.13160000,1.0732000,1.0780000,1.0728000,1.0779000,60297,64819.7736000,397,43335,46580.7046000,26373.0
4241377,4571770.97968437,1.0778000,1.0783000,1.0738000,1.0738000,44343,47731.3944000,397,13224,14234.1419000,-17895.0
4235615,4550893.59551110,1.0740000,1.0749000,1.0719000,1.0743000,20174,21657.5838000,221,10479,11250.0430000,784.0
4239740,4555792.35104280,1.0741000,1.0756000,1.0668000,1.0688000,52597,56257.9681000,457,31334,33495.4131000,10071.0
4235636,4527047.75680000,1.0685000,1.0712000,1.0665000,1.0666000,44396,47433.8282000,656,17595,18801.9221000,-9206.0
4229634,4515464.88319344,1.0666000,1.0674000,1.0632000,1.0659000,82585,87974.5763000,510,21812,23255.6557000,-38961.0
4213466,4492195.83485190,1.0657000,1.0686000,1.0625000,1.0682000,61818,65877.6456000,591,25446,27131.3414000,-10926.0
4206670,4488012.72060050,1.0681000,1.0712000,1.0681000,1.0699000,14914,15956.6947000,218,8007,8568.2960000,1100.0
4206250,4500266.87500000,1.0701000,1.0711000,1.0696000,1.0699000,10171,10885.1383000,180,3639,3895.5587000,-2893.0
4208555,4502870.61424850,1.0703000,1.0724000,1.0693000,1.0721000,8739,9357.3092000,215,3814,4084.0965000,-1111.0
4210071,4512929.06719647,1.0719000,1.0757000,1.0710000,1.0754000,14250,15300.9964000,334,6498,6977.4132000,-1254.0
4211661,4527655.77580494,1.0754000,1.0769000,1.0749000,1.0759000,36438,39188.9231000,360,21752,23394.4680000,7066.0
4220084,4540388.37560000,1.0758000,1.0768000,1.0750000,1.0766000,11104,11946.5796000,168,4131,4444.7180000,-2842.0
4219159,4540900.75799388,1.0765000,1.0778000,1.0741000,1.0773000,19894,21419.2185000,192,14288,15388.3983000,8682.0
4218942,4546753.79340000,1.0774000,1.0783000,1.0763000,1.0776000,14258,15359.4997000,167,6141,6616.5068000,-1976.0
4217643,4544932.09680000,1.0778000,1.0781000,1.0752000,1.0755000,8973,9656.3104000,147,1929,2075.1960000,-5115.0
4219995,4538604.62250000,1.0756000,1.0756000,1.0752000,1.0752000,477,512.9067000,9,57,61.3092000,-363.0
