sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
95181277,16038045.17450000,0.1685000,0.1694000,0.1684000,0.1689000,2014539,340294.9052000,1430,1051364,177611.2056000,88189.0
95196795,16069618.82253900,0.1689000,0.1702000,0.1687000,0.1694000,2257607,382796.9724000,1387,1046851,177392.2513000,-163905.0
95265573,16147022.10048759,0.1694000,0.1711000,0.1693000,0.1698000,3181164,541709.5252000,1613,1621461,276041.0438000,61758.0
95130382,16153138.86360000,0.1699000,0.1703000,0.1697000,0.1699000,1935894,329080.4487000,1239,1028506,174851.4252000,121118.0
95072278,16139896.78780822,0.1698000,0.1698000,0.1681000,0.1683000,2482023,419004.7074000,1534,859646,145137.0815000,-762731.0
94826701,15962051.51155066,0.1684000,0.1685000,0.1676000,0.1678000,2652218,445862.5895000,1564,1261318,212071.8672000,-129582.0
94885391,15919808.27762194,0.1677000,0.1677000,0.1653000,0.1660000,9897524,1645504.7160000,4659,3471266,577087.0217000,-2954992.0
93755122,15572725.76420000,0.1661000,0.1675000,0.1660000,0.1673000,4099668,683947.2914000,2458,1976068,329731.2994000,-147532.0
93821410,15696321.89300000,0.1673000,0.1686000,0.1673000,0.1685000,3185765,535869.1950000,1738,1993514,335283.1541000,801263.0
94336287,15894103.09395015,0.1685000,0.1690000,0.1680000,0.1682000,3367893,567249.6393000,1459,1744515,293878.4789000,121137.0
94677206,15924706.04920000,0.1682000,0.1682000,0.1670000,0.1675000,2848701,477125.6691000,1493,1144552,191680.9620000,-559597.0
94935725,15905973.76697850,0.1676000,0.1684000,0.1667000,0.1675000,3334231,558695.7453000,2317,1732500,290379.2824000,130769.0
94816118,15870002.30052234,0.1675000,0.1679000,0.1667000,0.1670000,2630434,439852.0509000,1589,1070967,179189.4555000,-488500.0
94489483,15778524.74666930,0.1670000,0.1673000,0.1659000,0.1661000,3109355,518176.6473000,1362,936954,156300.8408000,-1235447.0
94339439,15669780.81790000,0.1660000,0.1670000,0.1657000,0.1670000,4546461,756009.5940000,2350,2112927,351507.8754000,-320607.0
93612250,15624361.94747500,0.1669000,0.1677000,0.1668000,0.1669000,2582368,431910.0986000,1415,1322102,221208.1948000,61836.0
93526659,15605487.01990377,0.1669000,0.1694000,0.1669000,0.1689000,4655788,783392.5414000,2484,3236693,544634.3700000,1817598.0
93638521,15811062.78451452,0.1689000,0.1690000,0.1681000,0.1689000,4069652,686017.4728000,2275,2132482,359578.4874000,195312.0
93573366,15803919.25451610,0.1689000,0.1690000,0.1683000,0.1683000,1102408,185840.2203000,753,443307,74750.8786000,-215794.0
93437511,15723642.86045247,0.1683000,0.1692000,0.1681000,0.1687000,1870215,315504.3007000,974,1121494,189237.9894000,372773.0
93753804,15825642.11520000,0.1687000,0.1687000,0.1663000,0.1674000,5082736,851349.3832000,2568,2038224,341386.1924000,-1006288.0
93699845,15676615.60545530,0.1674000,0.1677000,0.1669000,0.1675000,2417457,404484.1966000,1353,1179831,197456.7194000,-57795.0
93574283,15669583.55573347,0.1675000,0.1677000,0.1672000,0.1674000,1198364,200671.9276000,751,446486,74793.9228000,-305392.0
93529434,15656827.25160000,0.1674000,0.1676000,0.1667000,0.1669000,1238149,206792.7197000,789,290860,48596.4444000,-656429.0
93517322,15598057.13250328,0.1669000,0.1671000,0.1666000,0.1671000,293046,48879.4428000,186,106342,17748.2058000,-80362.0
