sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
20025541,11807689.77814150,0.5899000,0.5914000,0.5876000,0.5914000,379751,223992.2486000,1463,154278,91013.6188000,-71195.0
20006014,11829361.21962364,0.5912000,0.5928000,0.5902000,0.5908000,235577,139338.6519000,863,125504,74242.5649000,15431.0
20016308,11825802.70322412,0.5907000,0.5934000,0.5902000,0.5922000,188431,111550.5879000,709,96936,57390.2040000,5441.0
20028374,11860803.08280000,0.5922000,0.5926000,0.5907000,0.5917000,225031,133161.1173000,718,123460,73063.4878000,21889.0
20063737,11871713.18290000,0.5917000,0.5921000,0.5901000,0.5919000,129987,76867.7532000,633,58332,34498.5954000,-13323.0
20059338,11867394.41882748,0.5919000,0.5928000,0.5896000,0.5899000,177587,105046.6419000,806,91151,53920.0649000,4715.0
20054335,11838097.41407195,0.5899000,0.5910000,0.5890000,0.5896000,235616,138952.7213000,918,57809,34102.9846000,-119998.0
20011326,11796065.53110396,0.5897000,0.5898000,0.5857000,0.5871000,483386,284046.9976000,1680,183996,108128.4011000,-115394.0
20024790,11752995.20307330,0.5872000,0.5911000,0.5868000,0.5910000,139985,82460.7089000,587,76694,45219.8932000,13403.0
20024123,11834256.69300000,0.5910000,0.5918000,0.5897000,0.5907000,157482,93019.9179000,620,52304,30912.0086000,-52874.0
20056950,11847640.36500000,0.5907000,0.5908000,0.5887000,0.5888000,108445,63926.5796000,438,42330,24949.8549000,-23785.0
20084395,11829299.93756175,0.5888000,0.5888000,0.5872000,0.5880000,97876,57531.1898000,457,32682,19214.5607000,-32512.0
20056238,11786553.87845998,0.5879000,0.5885000,0.5851000,0.5867000,227057,133171.4418000,765,80599,47270.9062000,-65859.0
20040878,11749576.97632290,0.5869000,0.5881000,0.5858000,0.5862000,118671,69641.2865000,606,57198,33567.4586000,-4275.0
20046920,11751504.50400000,0.5862000,0.5864000,0.5829000,0.5839000,283951,165954.4091000,1070,61163,35775.5970000,-161625.0
19955991,11652303.14490000,0.5838000,0.5873000,0.5812000,0.5865000,604974,352860.7834000,1984,157312,91867.8393000,-290350.0
19810753,11622968.78510000,0.5864000,0.5882000,0.5864000,0.5873000,128125,75262.7826000,622,66958,39335.8878000,5791.0
19800561,11630107.20836811,0.5874000,0.5888000,0.5869000,0.5871000,106033,62337.9314000,449,38295,22524.1527000,-29443.0
19816710,11638396.19075940,0.5871000,0.5879000,0.5865000,0.5878000,62884,36931.2956000,382,26777,15724.8638000,-9330.0
19824818,11648979.39606804,0.5878000,0.5893000,0.5876000,0.5892000,51203,30143.9165000,222,19395,11414.4560000,-12413.0
19833540,11685921.76800000,0.5892000,0.5894000,0.5881000,0.5890000,68813,40518.4301000,297,16006,9426.6685000,-36801.0
19802143,11658981.79412482,0.5889000,0.5889000,0.5865000,0.5876000,145184,85319.9121000,465,35544,20881.2885000,-74096.0
19760325,11610535.43001300,0.5876000,0.5885000,0.5867000,0.5877000,66202,38915.1258000,256,39829,23416.2494000,13456.0
19767833,11617555.45410000,0.5878000,0.5880000,0.5862000,0.5868000,115902,68024.7217000,412,33279,19531.6505000,-49344.0
19792650,11613712.06236450,0.5868000,0.5871000,0.5860000,0.5861000,72176,42343.0255000,354,24881,14595.2661000,-22414.0
