sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
162360538,2238951.81902000,0.0137900,0.0138400,0.0137800,0.0138200,3010667,41585.7249800,450,1618648,22362.0502100,226629.0
162070545,2241299.49809220,0.0138200,0.0138600,0.0138100,0.0138500,1145729,15851.5178000,192,422344,5845.9165000,-301041.0
161958261,2243121.91485000,0.0138500,0.0138600,0.0138400,0.0138500,1072352,14853.0398200,180,549349,7610.3009400,26346.0
162021404,2243688.60473240,0.0138600,0.0138600,0.0138200,0.0138300,579096,8015.6668600,143,318033,4402.1927100,56970.0
161908286,2239191.59538000,0.0138400,0.0138400,0.0138000,0.0138100,917921,12670.5220100,108,93600,1293.4746200,-730721.0
162467117,2242046.21460000,0.0138000,0.0138100,0.0137500,0.0137500,2376851,32761.3520700,214,407355,5609.0938200,-1562141.0
163380933,2246546.64588588,0.0137500,0.0137600,0.0136100,0.0136600,5166768,70596.5642900,580,2645374,36130.9168200,123980.0
161712537,2209035.30067962,0.0136700,0.0137400,0.0136700,0.0137300,821626,11262.3346000,176,477120,6540.5488100,132614.0
161685790,2219945.89670000,0.0137300,0.0137800,0.0137300,0.0137700,1188715,16365.5109100,160,904738,12458.8090700,620761.0
161339679,2221647.37983000,0.0137700,0.0137800,0.0137200,0.0137300,1329939,18275.6547400,222,518580,7125.7740200,-292779.0
161631950,2219539.63531700,0.0137300,0.0137400,0.0136800,0.0137300,804663,11034.8502600,187,348951,4786.6358100,-106761.0
161702524,2219916.93048160,0.0137200,0.0137400,0.0136400,0.0136700,2181888,29849.5360500,354,753014,10301.9171100,-675860.0
162066173,2214655.32264749,0.0136800,0.0136900,0.0136400,0.0136500,1339698,18305.9564600,221,736291,10063.8232900,132884.0
162071641,2212277.89965000,0.0136400,0.0136500,0.0136100,0.0136200,1235946,16849.3280800,224,506340,6904.4977700,-223266.0
161942810,2205661.07220000,0.0136100,0.0136400,0.0135600,0.0136400,5121872,69591.2783500,415,3123841,42432.8470200,1125810.0
160500688,2188518.36627216,0.0136400,0.0136900,0.0136300,0.0136800,878326,12002.0453000,139,544302,7439.8249500,210278.0
160513115,2195819.41320000,0.0136900,0.0137100,0.0136800,0.0136900,596276,8163.3863500,142,311729,4268.6732100,27182.0
160625241,2198959.54929000,0.0136800,0.0137100,0.0136800,0.0137000,661687,9061.6465700,205,373233,5113.1127700,84779.0
160725664,2201388.70051584,0.0137100,0.0137300,0.0136900,0.0137200,872137,11951.5399700,250,412032,5647.3349000,-48073.0
161003934,2208973.97448000,0.0137200,0.0137400,0.0137100,0.0137400,303732,4167.9382200,85,171580,2355.5835700,39428.0
160973800,2210904.31452800,0.0137300,0.0137400,0.0137100,0.0137200,346696,4759.3630000,108,148447,2038.6649700,-49802.0
161050027,2209606.37044000,0.0137200,0.0137400,0.0137100,0.0137300,392894,5390.5899700,92,173704,2384.8014500,-45486.0
160979838,2210253.17574000,0.0137300,0.0137400,0.0137200,0.0137400,411574,5651.7486800,97,204674,2811.0241400,-2226.0
160962392,2210321.08032872,0.0137300,0.0137500,0.0137100,0.0137200,621000,8523.7944100,145,246670,3386.6219900,-127660.0
160894838,2205696.07150334,0.0137100,0.0137100,0.0137100,0.0137100,19710,270.2241000,7,829,11.3655900,-18052.0
