sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
164221860,4113565.45342380,0.0250500,0.0251100,0.0250200,0.0250500,1061870,26610.8043200,288,462855,11599.4975700,-136160.0
164289698,4114692.98780430,0.0250400,0.0251400,0.0250400,0.0251300,914291,22936.3963400,223,680619,17073.4425300,446947.0
164265938,4128003.02194000,0.0251300,0.0251700,0.0251100,0.0251700,855868,21518.6134800,176,298387,7502.5581400,-259094.0
164541750,4140599.34995250,0.0251700,0.0251700,0.0250500,0.0251100,948790,23825.0891200,217,370356,9295.6685700,-208078.0
164822063,4136992.57578425,0.0251100,0.0251200,0.0250200,0.0250300,896186,22459.5885900,220,373942,9371.1258300,-148302.0
164587015,4118265.01779715,0.0250200,0.0250600,0.0250000,0.0250100,1298908,32509.0701300,359,667911,16714.4320200,36914.0
164285250,4108774.10250000,0.0250000,0.0250100,0.0248000,0.0248600,5147619,128116.4753500,1047,3004487,74803.3055900,861355.0
164105710,4083035.39976920,0.0248700,0.0250100,0.0248700,0.0250100,1576861,39344.4326000,410,919753,22949.3807000,262645.0
164198571,4104726.18707205,0.0250100,0.0250500,0.0249800,0.0250400,850608,21278.5122900,197,471532,11795.8768400,92456.0
163993265,4106391.35560000,0.0250400,0.0250400,0.0249700,0.0249800,882816,22077.5542400,211,437702,10946.7983100,-7412.0
164107721,4101051.94779000,0.0249800,0.0250100,0.0249500,0.0250000,957966,23934.7346800,189,684435,17100.6372700,410904.0
164061128,4101483.90349544,0.0249900,0.0250200,0.0248900,0.0249100,2451989,61168.8141200,534,1425600,35553.7394700,399211.0
163660403,4076780.63873000,0.0249200,0.0249400,0.0248800,0.0248800,1209316,30121.6421300,341,464805,11580.4736400,-279706.0
163657477,4071798.02776000,0.0248800,0.0249000,0.0248400,0.0248400,461652,11479.6253500,164,224807,5591.5221200,-12038.0
163627407,4064504.78988000,0.0248400,0.0248700,0.0247600,0.0248400,2915388,72349.6874300,511,1152317,28609.9818700,-610754.0
162701203,4041283.11693204,0.0248500,0.0249600,0.0248400,0.0249300,1781727,44400.4345800,356,1237636,30837.2809800,693545.0
163092787,4065903.17991000,0.0249400,0.0249600,0.0249200,0.0249400,284113,7085.9848500,104,145062,3618.1961800,6011.0
163032661,4066034.56534000,0.0249400,0.0250200,0.0249400,0.0250200,631475,15774.9215700,151,409655,10232.0514300,187835.0
163155491,4080106.04651777,0.0250100,0.0250600,0.0249900,0.0250400,851596,21318.0566000,207,431340,10799.3605300,11084.0
163363315,4090617.40760000,0.0250400,0.0250400,0.0250100,0.0250300,435913,10910.4898200,128,138423,3464.8144200,-159067.0
163295816,4086208.35730360,0.0250300,0.0250300,0.0250100,0.0250200,240883,6027.3906100,80,140359,3512.2787800,39835.0
163278106,4084801.85294970,0.0250200,0.0250500,0.0249900,0.0250400,256586,6420.0605000,93,111397,2787.9178800,-33792.0
163296791,4088951.64664000,0.0250400,0.0250400,0.0250100,0.0250400,111966,2802.6401100,46,29178,730.4695500,-53610.0
163276588,4088445.76352000,0.0250400,0.0250500,0.0250100,0.0250200,182843,4575.6527400,94,74411,1862.1222600,-34021.0
163293182,4083653.85770602,0.0250200,0.0250200,0.0250100,0.0250100,73482,1838.1191500,34,29010,725.5549000,-15462.0
