sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
304687839,196921718.75840124,0.6463,0.6475,0.6462,0.6470,5369073.4,3473171.32023,5581,2712233,1754561.88529,55392.199999999255
304974228,197298687.96668485,0.6469,0.6475,0.6464,0.6467,3785798.5,2448815.42219,3771,1892645,1224297.62814,-508.89999999990687
304923692,197194151.48706000,0.6468,0.6477,0.6464,0.6476,3796200,2456488.73111,3097,2187414,1415636.99227,578628.0
305589345,197899660.08104000,0.6477,0.6478,0.6457,0.6462,2816057.4,1821328.43000,3010,1119252,723841.49461,-577552.6000000001
305564357,197440513.42589152,0.6462,0.6464,0.6442,0.6444,4903639.4,3163706.27411,3600,2134762,1376829.45785,-634116.4000000004
305502958,196835555.58168000,0.6443,0.6453,0.6442,0.6447,4427822.4,2854365.24931,3990,2427266,1564818.09419,426710.0
305717495,197096069.02650000,0.6447,0.6447,0.6382,0.6422,20077384.1,12873754.82095,18203,8830950,5663850.89374,-2415484.3000000007
303903515,195166837.39722000,0.6422,0.6452,0.6418,0.6445,5546381.1,3569607.62692,5923,3347052,2154184.28322,1147722.1000000006
303810276,195805722.75310000,0.6446,0.6458,0.6446,0.6455,3178704.8,2051226.71273,3892,1692428,1092108.46709,206150.80000000028
303729836,196043685.83959067,0.6454,0.6457,0.6446,0.6446,2573665,1660316.28078,2809,1415473,913169.97287,257280.6000000001
303975317,195939616.64253625,0.6445,0.6447,0.6435,0.6441,3070505.2,1977900.47684,2582,1187485,764941.31698,-695535.0
304127960,195878375.41066673,0.6441,0.6449,0.6413,0.6427,5167651.9,3321819.01844,5563,2412398,1550833.52633,-342856.7000000002
303753938,195192280.49454000,0.6426,0.6433,0.6417,0.6424,2723949.7,1750520.67387,3779,1304730,838459.53576,-114488.70000000019
303654055,195067364.86776000,0.6424,0.6430,0.6413,0.6419,3231397.9,2075557.34917,3660,1608660,1033281.82109,-14077.69999999972
303467176,194795580.21021000,0.6419,0.6431,0.6412,0.6425,5397967.9,3465915.50267,5227,2761213,1772923.64374,124458.09999999963
303852625,195266450.36218935,0.6425,0.6452,0.6425,0.6446,4024092.2,2591928.23594,4246,2424637,1561585.79252,825181.5999999996
303772971,195812057.10660000,0.6446,0.6453,0.6444,0.6446,2159947.2,1392828.72306,2113,1022208,659171.68409,-115532.00000000012
303736898,195780278.68498752,0.6446,0.6454,0.6444,0.6452,1892567.4,1220587.29166,2957,1190646,767902.42013,488725.3999999999
303932469,196097228.99880000,0.6453,0.6458,0.6448,0.6458,1619703.9,1045343.12145,2562,927730,598784.38486,235756.5
304052109,196335841.79774883,0.6458,0.6460,0.6454,0.6458,1769218,1142407.47707,2239,784378,506505.60362,-200463.0
304732469,196808323.31189460,0.6459,0.6460,0.6455,0.6455,1864081.3,1203693.68718,1700,787451,508519.05661,-289180.1000000002
304485379,196568453.03330400,0.6455,0.6457,0.6444,0.6456,2327933,1501789.07359,2393,658708,424960.00451,-1010517.2000000001
304271252,196437520.61400000,0.6456,0.6461,0.6454,0.6460,2053599.8,1326123.86602,2015,1185475,765538.15101,317349.99999999977
304683731,196795221.78831000,0.6460,0.6460,0.6450,0.6453,1512395.6,976094.94317,2091,533260,344151.89145,-445876.2000000002
304755533,196658745.18678000,0.6453,0.6453,0.6450,0.6451,171602.7,110718.66227,164,10220,6594.48339,-151162.3
