sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
904472656,3568108.44901376,0.0039470,0.0039650,0.0039290,0.0039640,16322820,64454.7263770,714,9165552,36211.5597100,2008284.0
900841282,3570925.83343518,0.0039620,0.0039790,0.0039620,0.0039740,5353510,21265.6169830,393,1940912,7707.8392350,-1471686.0
901628470,3582512.53012860,0.0039730,0.0039830,0.0039690,0.0039790,2554159,10155.0732280,287,1426598,5672.8613850,299037.0
901866503,3588526.81543700,0.0039790,0.0039790,0.0039650,0.0039720,6143521,24415.4942310,291,2353424,9356.7909860,-1436673.0
900769150,3577855.06380000,0.0039730,0.0039760,0.0039600,0.0039660,4617284,18319.3789420,305,2310976,9169.0297750,4668.0
901862885,3575516.57524215,0.0039660,0.0039680,0.0039490,0.0039520,4365543,17273.2630880,297,1877940,7432.5743620,-609663.0
902226678,3564102.13517052,0.0039510,0.0039570,0.0039390,0.0039450,7739470,30560.7184080,527,4163187,16449.0147920,586904.0
901609890,3556851.01605000,0.0039450,0.0039480,0.0038920,0.0039100,26973130,105669.0769800,1628,9220889,36142.8284380,-8531352.0
900070203,3517618.36455648,0.0039090,0.0039310,0.0039090,0.0039280,8143140,31919.7702920,662,4978797,19515.2599120,1814454.0
900039306,3535354.39396800,0.0039280,0.0039450,0.0039280,0.0039400,3898333,15345.0800590,344,1668380,6567.8570940,-561573.0
899778700,3545128.07800000,0.0039410,0.0039430,0.0039240,0.0039250,5468432,21490.9235560,338,2174199,8543.1788190,-1120034.0
900707275,3534330.31173625,0.0039260,0.0039280,0.0039170,0.0039200,3966150,15554.8452520,282,2161374,8477.3041040,356598.0
900861904,3530477.80177600,0.0039190,0.0039270,0.0038850,0.0039040,10202984,39818.4260020,598,4411643,17220.4744410,-1379698.0
901436040,3514681.09123920,0.0039040,0.0039070,0.0038730,0.0038840,20745088,80713.7039600,752,3746105,14589.2679470,-13252878.0
903441193,3508965.59361200,0.0038830,0.0038910,0.0038720,0.0038770,10497118,40760.4822740,474,4338625,16858.9224220,-1819868.0
905082494,3508398.42396702,0.0038750,0.0038920,0.0038640,0.0038900,10134410,39282.5122920,473,4825733,18710.5622320,-482944.0
906917121,3527182.06699320,0.0038900,0.0039010,0.0038870,0.0038980,2891798,11266.7139370,223,1176566,4584.4570480,-538666.0
906706492,3534341.90581600,0.0039000,0.0039090,0.0038970,0.0039050,4670285,18228.1799160,309,2820153,11006.1050570,970021.0
906283845,3539038.41472500,0.0039050,0.0039110,0.0038970,0.0039110,5167824,20182.4433990,382,1663735,6499.9829590,-1840354.0
907980998,3550323.73970974,0.0039110,0.0039320,0.0039070,0.0039290,10796021,42344.4578240,428,6628160,25992.9850300,2460299.0
907464121,3565426.53140900,0.0039290,0.0039310,0.0039200,0.0039270,2486637,9765.9463220,191,1714450,6734.3460140,942263.0
907009884,3560839.17369444,0.0039270,0.0039280,0.0039200,0.0039250,1709758,6710.3216140,150,443718,1741.4624710,-822322.0
907148055,3559803.18298935,0.0039240,0.0039240,0.0039130,0.0039200,3421490,13409.3253290,242,1119598,4387.1145430,-1182294.0
908051741,3558672.93401382,0.0039190,0.0039240,0.0039160,0.0039210,2865066,11231.4585910,188,1121250,4396.9682340,-622566.0
908762757,3562486.32185355,0.0039210,0.0039220,0.0039140,0.0039160,931879,3652.9770600,76,480287,1882.4346060,28695.0
