sum_open_interest,sum_open_interest_value,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,volume_delta
68782296,36530277.24627000,0.5308,0.5334,0.5093,0.5144,17236762.9,8948865.43510,35930,7031641,3652405.81581,-3173481.299999998
66129766,34004039.97885484,0.5144,0.5215,0.5140,0.5209,4584141.8,2375062.13603,10964,2474907,1282438.08036,365672.0
65507761,34122992.65281000,0.5209,0.5244,0.5205,0.5243,2882311.1,1506028.28111,7814,1591130,831586.83531,299948.1000000001
64835812,33993416.44132000,0.5242,0.5248,0.5216,0.5243,2623231.6,1372720.13104,7345,1330665,696462.62013,38098.39999999991
64326858,33724150.12433370,0.5243,0.5255,0.5232,0.5240,1513896.1,794030.81871,4292,865878,454253.80452,217860.2999999998
64074544,33607098.17065000,0.5240,0.5265,0.5207,0.5261,2169647.5,1137621.04518,6009,1106374,580479.88567,43100.700000000186
63798732,33558133.18980000,0.5261,0.5262,0.5178,0.5190,3715475.3,1932539.66308,7060,1517672,789436.42423,-680130.5
63700068,33052654.44157644,0.5190,0.5234,0.5179,0.5232,1733770.6,903916.42113,4688,932731,486279.87957,131691.0
63579635,33271222.99550000,0.5233,0.5268,0.5229,0.5261,2537035.9,1331290.84715,6150,1534229,805173.77265,531422.7000000002
63406493,33338873.52387295,0.5260,0.5272,0.5246,0.5264,1389747.6,730728.71032,2961,774366,407206.10305,158984.7999999998
63284886,33326211.54066785,0.5265,0.5276,0.5244,0.5264,1782431.9,937933.01845,3854,961602,506051.78172,140772.1000000001
63126005,33234243.38734834,0.5264,0.5273,0.5218,0.5242,2347271.6,1232251.99453,4551,939469,493286.07517,-468334.2000000002
63014137,32990195.69436954,0.5242,0.5265,0.5230,0.5240,1301700.2,683325.49182,2664,646492,339409.57588,-8716.199999999953
62919186,32978337.41281031,0.5239,0.5243,0.5206,0.5211,1233452.5,644453.58583,2732,564458,295034.48374,-104536.1000000001
62721352,32673298.15877576,0.5210,0.5227,0.5192,0.5204,1740905.5,906617.01672,3149,860360,448048.25125,-20184.699999999953
62788779,32677438.79806454,0.5204,0.5273,0.5197,0.5262,1415276.5,740805.52997,2767,895499,468716.60871,375722.30000000005
62668853,32989050.97098925,0.5262,0.5273,0.5252,0.5252,863792.3,454798.52887,1926,450430,237180.00123,37066.89999999991
62656382,32911506.02600836,0.5252,0.5252,0.5222,0.5233,1580002.9,827095.05100,4103,774164,405210.72858,-31675.899999999907
62666020,32803392.69834410,0.5233,0.5310,0.5227,0.5279,3436062.7,1814538.20456,6850,1904699,1005612.76953,373334.8999999999
62650202,33077326.23031794,0.5279,0.5287,0.5260,0.5263,1323366.9,697671.67380,3370,610951,322126.59254,-101464.5
62511737,32936671.42404226,0.5263,0.5299,0.5262,0.5280,1405142.8,741932.13004,3691,795389,419940.10130,185634.80000000005
62416485,32977304.19604710,0.5280,0.5315,0.5267,0.5300,1218088.8,644251.17723,3454,712254,376779.61817,206419.0
62254598,33000334.36063793,0.5301,0.5308,0.5284,0.5289,807557.2,427683.30458,2267,404764,214387.13940,1970.0
62202098,32924601.10723220,0.5289,0.5309,0.5281,0.5294,895218.9,473949.93045,2606,425510,225211.78598,-44199.5
62096800,32885469.65646241,0.5294,0.5296,0.5294,0.5295,10921.4,5783.48096,56,9050,4792.25906,7177.6
